"key","status","title_score","bib_title","cr_title","bib_journal","cr_journal","bib_year","cr_year","bib_volume","cr_volume","bib_issue","cr_issue","bib_pages","cr_pages","doi","year_ok","volume_ok","issue_ok","first_page_ok"
"black2013maternal","title matched",1,"Maternal and child undernutrition and overweight in low-income and middle-income countries","Maternal and child undernutrition and overweight in low-income and middle-income countries","Lancet","The Lancet","2013","2013","382","382","9890","9890","427--51","427-451","10.1016/s0140-6736(13)60937-x",TRUE,TRUE,TRUE,TRUE
"deonis2016childhood","title matched",1,"Childhood stunting: a global perspective","Childhood stunting: a global perspective","Matern Child Nutr","Maternal &amp; Child Nutrition","2016","2016","12","12","Suppl 1","S1","12--26","12-26","10.1111/mcn.12231",TRUE,TRUE,FALSE,TRUE
"unicef2023levels","check title",0.31,"Levels and trends in child malnutrition: UNICEF/WHO/World","The Double Burden of Malnutrition",NA,NA,"2023","2019",NA,NA,NA,NA,NA,NA,"10.1159/isbn.978-3-318-06662-3",FALSE,TRUE,TRUE,NA
"victora2021revisiting","title matched",1,"Revisiting maternal and child undernutrition in low-income and middle-income countries: variable progress towards an unfinished agenda","Revisiting maternal and child undernutrition in low-income and middle-income countries: variable progress towards an unfinished agenda","Lancet","The Lancet","2021","2021","397","397","10282","10282","1388--99","1388-1399","10.1016/s0140-6736(21)00394-9",TRUE,TRUE,TRUE,TRUE
"who2014global","check title",0.53,"Global nutrition targets 2025: stunting policy brief","Global nutrition targets 2030",NA,NA,"2014","2025",NA,NA,NA,NA,NA,NA,"10.2471/b09383",FALSE,TRUE,TRUE,NA
"instat2022edsmd","check title",0.1,"Enqu\^e","La statistique agricole aux Pays-Bas",NA,"Etudes et conjoncture - Institut national de la statistique et des études économiques","2022","1955",NA,"10",NA,"12",NA,"1057-1067","10.3406/estat.1955.9022",FALSE,FALSE,FALSE,NA
"corsi2012demographic","title matched",1,"Demographic and health surveys: a profile","Demographic and health surveys: a profile","Int J Epidemiol","International Journal of Epidemiology","2012","2012","41","41","6","6","1602--13","1602-1613","10.1093/ije/dys184",TRUE,TRUE,TRUE,TRUE
"assaf2015assessment","check title",0.3,"An assessment of the quality of DHS","Making the Patient Safety and Quality Improvement Act of 2005 Work",NA,"Journal for Healthcare Quality","2015","2007",NA,"29",NA,"4",NA,"6-10","10.1111/j.1945-1474.2007.tb00199.x",FALSE,FALSE,FALSE,NA
"perumal2020anthropometric","title matched",1,"Anthropometric data quality assessment in multisurvey studies of child growth","Anthropometric data quality assessment in multisurvey studies of child growth","Am J Clin Nutr","The American Journal of Clinical Nutrition","2020","2020","112","112","Suppl 2",NA,"806S--815S","806S-815S","10.1093/ajcn/nqaa162",TRUE,TRUE,FALSE,TRUE
"crowe2014effect","title matched",1,"Effect of nutrition survey 'cleaning criteria' on estimates of malnutrition prevalence and disease burden: secondary data analysis","Effect of nutrition survey ‘cleaning criteria’ on estimates of malnutrition prevalence and disease burden: secondary data analysis","PeerJ","PeerJ","2014","2014","2","2",NA,NA,"e380","e380","10.7717/peerj.380",TRUE,TRUE,TRUE,TRUE
