"analysis","method","outcome","axis","group","n_total","n_observed","pct","se","lo","hi","df","fmi"
"Main (flagged = missing)","CCA","sev_stunted","National","National",6682,6402,12.7215997776324,0.602916061326496,11.5838422133584,13.9534712683338,604,NA
"Main (flagged = missing)","CCA (outcome + covariates)","sev_stunted","National","National",6682,6402,12.7176666628197,0.607864908508637,11.5709638156933,13.9600696737886,604,NA
"Main (flagged = missing)","IPW","sev_stunted","National","National",6682,6402,12.7058438978902,0.60706097492143,11.560647167556,13.9465941182856,604,NA
"Main (flagged = missing)","MI-PMM","sev_stunted","National","National",6682,6402,12.7374809527066,0.59869017897509,11.607160412737,13.960489148916,563.998223992293,0.0360202832160744
"Main (flagged = missing)","MI-RF","sev_stunted","National","National",6682,6402,12.7010865597023,0.595180805036942,11.5772984548264,13.9167901287145,568.463540856395,0.0332493849394699
"Sensitivity (flagged excluded)","CCA","sev_stunted","National","National",6659,6402,12.7215997776324,0.602916061326496,11.5838422133584,13.9534712683338,604,NA
"Sensitivity (flagged excluded)","CCA (outcome + covariates)","sev_stunted","National","National",6659,6402,12.7176666628197,0.607864908508637,11.5709638156933,13.9600696737886,604,NA
"Sensitivity (flagged excluded)","IPW","sev_stunted","National","National",6659,6402,12.7062876036845,0.608039439130577,11.5593177366393,13.9491151348571,604,NA
"Sensitivity (flagged excluded)","MI-PMM","sev_stunted","National","National",6659,6402,12.7488702585955,0.596347121748952,11.622816906589,13.9667780292426,580.301977881338,0.0251803936114226
"Sensitivity (flagged excluded)","MI-RF","sev_stunted","National","National",6659,6402,12.7331425804456,0.596711556678744,11.6064751006072,13.9519157530854,575.696968174346,0.0284686393527363
"Main (flagged = missing)","CCA","sev_wasted","National","National",6682,6478,1.48357443142537,0.180286530973458,1.16812604697814,1.88258590782733,604,NA
"Main (flagged = missing)","CCA (outcome + covariates)","sev_wasted","National","National",6682,6478,1.42778085965045,0.177475662239632,1.11807264755925,1.82169832341476,604,NA
"Main (flagged = missing)","IPW","sev_wasted","National","National",6682,6478,1.51084795867494,0.187538377125757,1.18349863718908,1.92697469385211,604,NA
"Main (flagged = missing)","MI-PMM","sev_wasted","National","National",6682,6478,1.48607192701113,0.179105925586072,1.17236849417553,1.88211779994958,575.463230104781,0.0286298494563145
"Main (flagged = missing)","MI-RF","sev_wasted","National","National",6682,6478,1.49002650835049,0.181760917392401,1.17206736597249,1.89258996293085,540.547451581913,0.0491220824507944
"Sensitivity (flagged excluded)","CCA","sev_wasted","National","National",6656,6478,1.48357443142537,0.180286530973458,1.16812604697814,1.88258590782733,604,NA
"Sensitivity (flagged excluded)","CCA (outcome + covariates)","sev_wasted","National","National",6656,6478,1.42778085965045,0.177475662239632,1.11807264755925,1.82169832341476,604,NA
"Sensitivity (flagged excluded)","IPW","sev_wasted","National","National",6656,6478,1.50443847172693,0.185518891780202,1.18037055801044,1.91575361088877,604,NA
"Sensitivity (flagged excluded)","MI-PMM","sev_wasted","National","National",6656,6478,1.49172592894878,0.180525493801479,1.17568025280425,1.89110503646678,575.362553118889,0.0286991320647134
"Sensitivity (flagged excluded)","MI-RF","sev_wasted","National","National",6656,6478,1.48069156954714,0.179128180818427,1.16708663698861,1.8769641418794,578.565240912184,0.0264470630604953
"Main (flagged = missing)","CCA","stunted","National","National",6682,6402,39.8433515021559,0.922685850023396,38.0459470208173,41.6685594596044,604,NA
"Main (flagged = missing)","CCA (outcome + covariates)","stunted","National","National",6682,6402,39.722976317255,0.924689614482278,37.921880950692,41.5523559106151,604,NA
"Main (flagged = missing)","IPW","stunted","National","National",6682,6402,39.8193780252517,0.930990095574672,38.0059726487928,41.6611617220359,604,NA
"Main (flagged = missing)","MI-PMM","stunted","National","National",6682,6402,39.8762417867059,0.906743328814755,38.1094925593679,41.6697512539923,588.446724435228,0.0186767262016661
"Main (flagged = missing)","MI-RF","stunted","National","National",6682,6402,39.876428530176,0.913245656175235,38.0969208143259,41.6830867947443,558.412599351727,0.0393349095844526
"Main (flagged = missing)","CCA","stunted","region","Alaotra Mangoro",258,250,44.8566853206067,3.64967081476521,37.8426449610256,52.0814651698455,604,NA
"Main (flagged = missing)","CCA (outcome + covariates)","stunted","region","Alaotra Mangoro",258,250,45.0153619396441,3.79013664637823,37.7358154073123,52.5147927286797,604,NA
"Main (flagged = missing)","IPW","stunted","region","Alaotra Mangoro",258,250,44.8232599376525,3.59699850226,37.9083108382751,51.9443490432479,604,NA
"Main (flagged = missing)","MI-PMM","stunted","region","Alaotra Mangoro",258,250,44.8063034953338,3.62351642290024,37.84124725912,51.9812644172636,566.405191456591,0.0345415120148751
"Main (flagged = missing)","MI-RF","stunted","region","Alaotra Mangoro",258,250,44.703237152631,3.56523856626651,37.8496387530295,51.7642246577978,586.215957932608,0.020567612985502
"Main (flagged = missing)","CCA","stunted","region","Amoron'i Mania",287,280,49.0588627987737,3.85701184477377,41.5627634633322,56.5975245642033,604,NA
"Main (flagged = missing)","CCA (outcome + covariates)","stunted","region","Amoron'i Mania",287,280,49.0017093290864,3.9304598499389,41.3668314630624,56.683444964388,604,NA
"Main (flagged = missing)","IPW","stunted","region","Amoron'i Mania",287,280,49.4753745889326,3.86462227579402,41.9553063252965,57.0192552827225,604,NA
"Main (flagged = missing)","MI-PMM","stunted","region","Amoron'i Mania",287,280,49.1450461584505,3.85131310841701,41.6573763120586,56.6712712564867,583.95371323168,0.0223934591977766
"Main (flagged = missing)","MI-RF","stunted","region","Amoron'i Mania",287,280,49.1453839247195,3.82739459945465,41.7036279524381,56.6252074285276,593.010101172704,0.0144460872836394
"Main (flagged = missing)","CCA","stunted","region","Analamanga (excl. Antananarivo)",223,217,48.3358917477175,4.18482935654275,40.2346662435719,56.52554100008,604,NA
"Main (flagged = missing)","CCA (outcome + covariates)","stunted","region","Analamanga (excl. Antananarivo)",223,217,48.2784115818759,4.14914498733482,40.2461862651471,56.4005956064868,604,NA
"Main (flagged = missing)","IPW","stunted","region","Analamanga (excl. Antananarivo)",223,217,48.2507795926712,4.23310327986819,40.0606077148371,56.5360261428232,604,NA
"Main (flagged = missing)","MI-PMM","stunted","region","Analamanga (excl. Antananarivo)",223,217,48.4058779510612,4.20867677000944,40.2569545357406,56.6404647618851,577.573172734854,0.0271556911262677
"Main (flagged = missing)","MI-RF","stunted","region","Analamanga (excl. Antananarivo)",223,217,48.2105814400867,4.20782410330051,40.0679669503673,56.4493538157207,559.395755555477,0.0387623088944923
"Main (flagged = missing)","CCA","stunted","region","Analanjirofo",294,287,36.1685234318317,4.14987058954949,28.474031101591,44.644465048035,604,NA
"Main (flagged = missing)","CCA (outcome + covariates)","stunted","region","Analanjirofo",294,287,36.2121149385319,4.18943644835419,28.4477193805685,44.7697351785714,604,NA
"Main (flagged = missing)","IPW","stunted","region","Analanjirofo",294,287,36.2828192481586,4.13645904413122,28.6079738486311,44.7267052656294,604,NA
"Main (flagged = missing)","MI-PMM","stunted","region","Analanjirofo",294,287,36.1615526870756,4.12194400077286,28.5154297287602,44.5793375779224,593.435516939807,0.0140205288799407
"Main (flagged = missing)","MI-RF","stunted","region","Analanjirofo",294,287,36.209625098702,4.04237246826569,28.7001539694717,44.4587792622545,589.612454202223,0.017647081784649
"Main (flagged = missing)","CCA","stunted","region","Androy",476,429,45.3044676681306,2.44858917720704,40.5538735043692,50.1421598162624,604,NA
"Main (flagged = missing)","CCA (outcome + covariates)","stunted","region","Androy",476,429,45.7434253324704,2.54712208060315,40.8002651331102,50.7718455551368,604,NA
"Main (flagged = missing)","IPW","stunted","region","Androy",476,429,43.7376432803761,2.623289922261,38.6706919461781,48.9387274531577,604,NA
"Main (flagged = missing)","MI-PMM","stunted","region","Androy",476,429,45.1800031534547,2.42560810298802,40.4702916591507,49.9776604290266,416.855468708849,0.106398474606011
"Main (flagged = missing)","MI-RF","stunted","region","Androy",476,429,45.3195549262498,2.47871719778455,40.5075360614759,50.2206621578664,433.920418448394,0.0986530880663392
"Main (flagged = missing)","CCA","stunted","region","Anosy",333,327,46.8356285585511,4.31858376554678,38.5241506412287,55.326476444092,604,NA
"Main (flagged = missing)","CCA (outcome + covariates)","stunted","region","Anosy",333,327,46.7303157037194,4.25321737280905,38.5439096770902,55.0966441022117,604,NA
"Main (flagged = missing)","IPW","stunted","region","Anosy",333,327,46.9182082276099,4.34082124370489,38.5628351738482,55.4500032038988,604,NA
"Main (flagged = missing)","MI-PMM","stunted","region","Anosy",333,327,46.7279745716841,4.2528344115255,38.5421669370582,55.0938107592249,597.197518173923,0.00993404995557648
