"analysis","outcome","axis","group","k","pct_cca","rank_cca","rank_min","rank_max","n_methods","n_methods_top_k","n_methods_rank1","methods_top_k","p_top_k_cca","rank95_cca","top_k_status"
"Main (flagged = missing)","stunted","region","Vakinankaratra",5,51.9044385176005,1,1,2,5,5,4,"CCA; CCA (outcome + covariates); IPW; MI-PMM; MI-RF",0.82,"1-10","Worst-affected under all methods"
"Main (flagged = missing)","stunted","region","Itasy",5,51.5699544723426,2,1,2,5,5,1,"CCA; CCA (outcome + covariates); IPW; MI-PMM; MI-RF",0.7952,"1-10","Worst-affected under all methods"
"Main (flagged = missing)","stunted","region","Haute Matsiatra",5,49.2013260006176,3,3,4,5,5,0,"CCA; CCA (outcome + covariates); IPW; MI-PMM; MI-RF",0.6301,"1-11","Worst-affected under all methods"
"Main (flagged = missing)","stunted","region","Amoron'i Mania",5,49.0588627987737,4,3,4,5,5,0,"CCA; CCA (outcome + covariates); IPW; MI-PMM; MI-RF",0.6062,"1-11","Worst-affected under all methods"
"Main (flagged = missing)","stunted","region","Atsimo Atsinanana",5,48.4892815204327,5,5,6,5,4,0,"CCA; IPW; MI-PMM; MI-RF",0.5654,"1-10","METHOD-DEPENDENT"
"Main (flagged = missing)","stunted","region","Analamanga (excl. Antananarivo)",5,48.3358917477175,6,5,6,5,1,0,"CCA (outcome + covariates)",0.5316,"1-12","METHOD-DEPENDENT"
"Main (flagged = missing)","stunted","region","Anosy",5,46.8356285585511,7,7,7,5,0,0,"",0.385,"1-13","Not worst-affected"
"Main (flagged = missing)","stunted","region","Vatovavy Fitovinany",5,45.7118833064362,8,8,8,5,0,0,"",0.2566,"2-13","Not worst-affected"
"Main (flagged = missing)","stunted","region","Androy",5,45.3044676681306,9,9,11,5,0,0,"",0.1484,"3-12","Not worst-affected"
"Main (flagged = missing)","stunted","region","Alaotra Mangoro",5,44.8566853206067,10,9,10,5,0,0,"",0.1842,"2-13","Not worst-affected"
"Main (flagged = missing)","stunted","region","Antananarivo",5,44.0438540261999,11,10,11,5,0,0,"",0.0657,"4-12","Not worst-affected"
"Main (flagged = missing)","stunted","region","Atsinanana",5,37.6106130237504,12,12,13,5,0,0,"",0.0031,"9-18","Not worst-affected"
"Main (flagged = missing)","stunted","region","Bongolava",5,37.5764197366998,13,12,13,5,0,0,"",0.0046,"8-18","Not worst-affected"
"Main (flagged = missing)","stunted","region","Analanjirofo",5,36.1685234318317,14,14,14,5,0,0,"",0.0039,"9-19","Not worst-affected"
"Main (flagged = missing)","stunted","region","Menabe",5,34.9326028698401,15,15,15,5,0,0,"",0,"12-19","Not worst-affected"
"Main (flagged = missing)","stunted","region","Ihorombe",5,32.6227372275052,16,16,16,5,0,0,"",0,"12-21","Not worst-affected"
"Main (flagged = missing)","stunted","region","Sava",5,30.9519851317778,17,17,17,5,0,0,"",0,"13-21","Not worst-affected"
"Main (flagged = missing)","stunted","region","Betsiboka",5,29.5780116752149,18,18,18,5,0,0,"",0,"14-22","Not worst-affected"
"Main (flagged = missing)","stunted","region","Boeny",5,28.8463468883381,19,19,19,5,0,0,"",0,"14-22","Not worst-affected"
"Main (flagged = missing)","stunted","region","Sofia",5,28.1472860489946,20,20,20,5,0,0,"",0,"14-23","Not worst-affected"
"Main (flagged = missing)","stunted","region","Atsimo Andrefana",5,26.7291921826937,21,21,21,5,0,0,"",0,"15-23","Not worst-affected"
"Main (flagged = missing)","stunted","region","Melaky",5,22.2811622844891,22,22,22,5,0,0,"",0,"20-23","Not worst-affected"
"Main (flagged = missing)","stunted","region","Diana",5,21.6853023064341,23,23,23,5,0,0,"",0,"18-23","Not worst-affected"
"Main (flagged = missing)","stunted","wealth","Poorer",1,43.3974265556176,1,1,1,5,5,5,"CCA; CCA (outcome + covariates); IPW; MI-PMM; MI-RF",0.5701,"1-3","Worst-affected under all methods"
"Main (flagged = missing)","stunted","wealth","Poorest",1,42.7939026584341,2,2,2,5,0,0,"",0.3633,"1-4","Not worst-affected"
"Main (flagged = missing)","stunted","wealth","Middle",1,40.131079022041,3,3,3,5,0,0,"",0.0431,"1-4","Not worst-affected"
"Main (flagged = missing)","stunted","wealth","Richer",1,39.3541770839253,4,4,4,5,0,0,"",0.0235,"2-4","Not worst-affected"
"Main (flagged = missing)","stunted","wealth","Richest",1,29.9857386165925,5,5,5,5,0,0,"",0,"5-5","Not worst-affected"
"Main (flagged = missing)","wasted","region","Androy",5,15.1625683859782,1,1,1,5,5,5,"CCA; CCA (outcome + covariates); IPW; MI-PMM; MI-RF",0.9733,"1-6","Worst-affected under all methods"
"Main (flagged = missing)","wasted","region","Boeny",5,12.4334149459659,2,2,3,5,5,0,"CCA; CCA (outcome + covariates); IPW; MI-PMM; MI-RF",0.7681,"1-10","Worst-affected under all methods"
"Main (flagged = missing)","wasted","region","Atsimo Atsinanana",5,12.3560285870724,3,2,3,5,5,0,"CCA; CCA (outcome + covariates); IPW; MI-PMM; MI-RF",0.8449,"1-8","Worst-affected under all methods"
"Main (flagged = missing)","wasted","region","Analanjirofo",5,11.2604277594559,4,4,4,5,5,0,"CCA; CCA (outcome + covariates); IPW; MI-PMM; MI-RF",0.5763,"1-12","Worst-affected under all methods"
"Main (flagged = missing)","wasted","region","Vatovavy Fitovinany",5,10.1711662571103,5,5,8,5,4,0,"CCA; IPW; MI-PMM; MI-RF",0.3627,"2-12","METHOD-DEPENDENT"
"Main (flagged = missing)","wasted","region","Anosy",5,9.90639448752101,6,5,6,5,1,0,"CCA (outcome + covariates)",0.2992,"2-13","METHOD-DEPENDENT"
"Main (flagged = missing)","wasted","region","Sofia",5,9.7664108003692,7,6,7,5,0,0,"",0.3265,"1-15","Not worst-affected"
"Main (flagged = missing)","wasted","region","Sava",5,9.54183147523474,8,7,8,5,0,0,"",0.2898,"2-15","Not worst-affected"
"Main (flagged = missing)","wasted","region","Atsinanana",5,8.64600538559685,9,9,9,5,0,0,"",0.1859,"2-17","Not worst-affected"
"Main (flagged = missing)","wasted","region","Diana",5,7.81859439233806,10,10,10,5,0,0,"",0.0861,"3-17","Not worst-affected"
"Main (flagged = missing)","wasted","region","Bongolava",5,7.37193168188038,11,11,12,5,0,0,"",0.0259,"5-17","Not worst-affected"
"Main (flagged = missing)","wasted","region","Betsiboka",5,7.34587976826063,12,11,13,5,0,0,"",0.0735,"3-19","Not worst-affected"
"Main (flagged = missing)","wasted","region","Atsimo Andrefana",5,6.84189448940309,13,13,14,5,0,0,"",0.0308,"5-19","Not worst-affected"
"Main (flagged = missing)","wasted","region","Menabe",5,6.70138416489661,14,12,14,5,0,0,"",0.0956,"2-21","Not worst-affected"
"Main (flagged = missing)","wasted","region","Melaky",5,5.86144079233498,15,15,15,5,0,0,"",0.0278,"5-21","Not worst-affected"
"Main (flagged = missing)","wasted","region","Ihorombe",5,5.17870884644448,16,16,17,5,0,0,"",0.0055,"8-22","Not worst-affected"
"Main (flagged = missing)","wasted","region","Analamanga (excl. Antananarivo)",5,5.09315913636209,17,16,17,5,0,0,"",0.0104,"7-22","Not worst-affected"
"Main (flagged = missing)","wasted","region","Vakinankaratra",5,4.13516377011902,18,18,18,5,0,0,"",0.0044,"10-23","Not worst-affected"
"Main (flagged = missing)","wasted","region","Itasy",5,3.94733395464273,19,19,19,5,0,0,"",2e-04,"13-23","Not worst-affected"
"Main (flagged = missing)","wasted","region","Alaotra Mangoro",5,3.74530481556132,20,20,21,5,0,0,"",6e-04,"12-23","Not worst-affected"
"Main (flagged = missing)","wasted","region","Antananarivo",5,3.6988117138093,21,20,21,5,0,0,"",0,"14-23","Not worst-affected"
