"scenario","mechanism","rate","method","outcome","axis","n_groups","mean_abs_bias","max_abs_bias","mean_coverage","min_coverage","n_degenerate_ci"
1,"MCAR",0.1,"Complete data","stunted","region",23,0.00162010186658533,0.00400038510248613,0.932608695652174,0.902,0
1,"MCAR",0.1,"Complete data","stunted","wealth",5,0.000759282005301798,0.00124141582559018,0.9348,0.91,0
1,"MCAR",0.1,"Complete data","wasted","region",23,0.000959019251393877,0.00545284885769999,0.918439992883099,0.574,25
1,"MCAR",0.1,"Complete data","wasted","wealth",5,0.000208486688227408,0.000350242330220601,0.9488,0.93,0
1,"MCAR",0.1,"CCA","stunted","region",23,0.00150135334867002,0.0031796456874959,0.933913043478261,0.91,0
1,"MCAR",0.1,"CCA","stunted","wealth",5,0.000902628584822507,0.00140669802762028,0.9392,0.914,0
1,"MCAR",0.1,"CCA","wasted","region",23,0.000922117735062518,0.00558470435773061,0.922336955402435,0.604,34
1,"MCAR",0.1,"CCA","wasted","wealth",5,0.0002041886795439,0.000352011720856929,0.9496,0.93,0
1,"MCAR",0.1,"IPW","stunted","region",23,0.00151783183194903,0.00315975427793819,0.934173913043478,0.908,0
1,"MCAR",0.1,"IPW","stunted","wealth",5,0.000889540016934109,0.00135420537358627,0.9392,0.914,0
1,"MCAR",0.1,"IPW","wasted","region",23,0.000924357268389207,0.00553287215336425,0.922951596799685,0.604,34
1,"MCAR",0.1,"IPW","wasted","wealth",5,0.000210254840830586,0.000365294116045287,0.9516,0.938,0
1,"MCAR",0.1,"MI-PMM","stunted","region",23,0.00266865953813001,0.00785325944356663,0.941304347826087,0.91,0
1,"MCAR",0.1,"MI-PMM","stunted","wealth",5,0.0018106666537767,0.0040532134929892,0.944,0.926,0
1,"MCAR",0.1,"MI-PMM","wasted","region",23,0.00141652472284138,0.00620292105386287,0.942549208861347,0.692,32
1,"MCAR",0.1,"MI-PMM","wasted","wealth",5,0.000436161581482476,0.00108637343023277,0.9628,0.946,0
1,"MCAR",0.1,"MI-RF","stunted","region",23,0.00381570020521764,0.00749638462247293,0.940086956521739,0.904,0
1,"MCAR",0.1,"MI-RF","stunted","wealth",5,0.00178015165745228,0.00354749672929178,0.9384,0.914,0
1,"MCAR",0.1,"MI-RF","wasted","region",23,0.00154906729198562,0.00674196120777494,0.936173662319288,0.672,34
1,"MCAR",0.1,"MI-RF","wasted","wealth",5,0.000771545516813375,0.00181951096576104,0.958,0.944,0
2,"MCAR",0.3,"Complete data","stunted","region",23,0.001158108557218,0.00611329655321913,0.933217391304348,0.896,0
2,"MCAR",0.3,"Complete data","stunted","wealth",5,0.000668197798886239,0.00112100548269944,0.9424,0.93,0
2,"MCAR",0.3,"Complete data","wasted","region",23,0.000980806913120472,0.00576977800379642,0.915745005899818,0.592,19
2,"MCAR",0.3,"Complete data","wasted","wealth",5,0.000472353487231164,0.000859771890753119,0.9412,0.93,0
2,"MCAR",0.3,"CCA","stunted","region",23,0.00130721613425202,0.00562472265450065,0.93504347826087,0.9,0
2,"MCAR",0.3,"CCA","stunted","wealth",5,0.000679567319077889,0.00138907016341838,0.9424,0.934,0
2,"MCAR",0.3,"CCA","wasted","region",23,0.00112748128689447,0.0065317949338329,0.931702434293611,0.73,51
2,"MCAR",0.3,"CCA","wasted","wealth",5,0.000600483577105539,0.00100279652029824,0.9376,0.924,0
2,"MCAR",0.3,"IPW","stunted","region",23,0.00131082110571257,0.00569122834388625,0.935739130434783,0.904,0
2,"MCAR",0.3,"IPW","stunted","wealth",5,0.0006719139165974,0.00118748929437273,0.9416,0.932,0
2,"MCAR",0.3,"IPW","wasted","region",23,0.00113628716421752,0.00675360877994686,0.931877223560774,0.73,51
2,"MCAR",0.3,"IPW","wasted","wealth",5,0.000591527090313961,0.000959180423454872,0.9412,0.928,0
2,"MCAR",0.3,"MI-PMM","stunted","region",23,0.00707464641896725,0.0226272348513414,0.948869565217391,0.918,0
2,"MCAR",0.3,"MI-PMM","stunted","wealth",5,0.00491156082497735,0.0125327218140877,0.952,0.94,0
2,"MCAR",0.3,"MI-PMM","wasted","region",23,0.00414180850298782,0.00789346024219162,0.967098090948658,0.932,23
2,"MCAR",0.3,"MI-PMM","wasted","wealth",5,0.00123862759501585,0.00226709205024644,0.9684,0.962,0
2,"MCAR",0.3,"MI-RF","stunted","region",23,0.0110229987098141,0.0215187377162507,0.943913043478261,0.902,0
2,"MCAR",0.3,"MI-RF","stunted","wealth",5,0.0045603076351247,0.0113414290539095,0.9576,0.938,0
2,"MCAR",0.3,"MI-RF","wasted","region",23,0.00426929294897979,0.00989190291118058,0.958391659044804,0.896,42
2,"MCAR",0.3,"MI-RF","wasted","wealth",5,0.00207549135759523,0.00541274884385513,0.9536,0.938,0
3,"MCAR",0.5,"Complete data","stunted","region",23,0.00126465814052121,0.00386012245805406,0.931391304347826,0.91,0
3,"MCAR",0.5,"Complete data","stunted","wealth",5,0.000816400080262081,0.00158678354382369,0.9464,0.924,0
3,"MCAR",0.5,"Complete data","wasted","region",23,0.000669161821338832,0.0021957961103438,0.913986384678225,0.604,21
3,"MCAR",0.5,"Complete data","wasted","wealth",5,0.000401295246826801,0.000829108379886478,0.9356,0.914,0
3,"MCAR",0.5,"CCA","stunted","region",23,0.00192535328703015,0.00559130011942904,0.935217391304348,0.908,0
3,"MCAR",0.5,"CCA","stunted","wealth",5,0.00158625837183319,0.00391273542231912,0.9488,0.938,0
3,"MCAR",0.5,"CCA","wasted","region",23,0.000979905730472072,0.00380818055942617,0.940579231402217,0.8,103
3,"MCAR",0.5,"CCA","wasted","wealth",5,0.000660641180075282,0.000906807058689771,0.9412,0.924,0
3,"MCAR",0.5,"IPW","stunted","region",23,0.00187655424442718,0.0056234565754843,0.935826086956522,0.91,0
3,"MCAR",0.5,"IPW","stunted","wealth",5,0.0015059676424375,0.00353218796194193,0.9496,0.938,0
3,"MCAR",0.5,"IPW","wasted","region",23,0.00100867435425602,0.00403033270745227,0.941366097071455,0.81,103
3,"MCAR",0.5,"IPW","wasted","wealth",5,0.000684271521696521,0.000950766028721142,0.9416,0.928,0
3,"MCAR",0.5,"MI-PMM","stunted","region",23,0.0114267719628307,0.0308097700963494,0.947565217391304,0.912,0
3,"MCAR",0.5,"MI-PMM","stunted","wealth",5,0.00725215102038002,0.0167665364383249,0.956,0.926,0
3,"MCAR",0.5,"MI-PMM","wasted","region",23,0.00615875193696988,0.0120627659888261,0.974371675461123,0.928861788617886,12
3,"MCAR",0.5,"MI-PMM","wasted","wealth",5,0.00178262631685726,0.00349756295035554,0.9796,0.972,0
3,"MCAR",0.5,"MI-RF","stunted","region",23,0.0195240235795068,0.037263883005041,0.930608695652174,0.852,0
3,"MCAR",0.5,"MI-RF","stunted","wealth",5,0.00737807402673193,0.0152444861170508,0.9452,0.906,0
3,"MCAR",0.5,"MI-RF","wasted","region",23,0.00663094451389865,0.0171445047104916,0.963302400706492,0.908,46
3,"MCAR",0.5,"MI-RF","wasted","wealth",5,0.00346141115473194,0.00737693686587342,0.9624,0.918,0
4,"MAR",0.1,"Complete data","stunted","region",23,0.00165664550318965,0.0047851009272688,0.927130434782609,0.898,0
4,"MAR",0.1,"Complete data","stunted","wealth",5,0.00049966185906587,0.00147401417000287,0.9448,0.928,0
4,"MAR",0.1,"Complete data","wasted","region",23,0.000888600042073254,0.00239173481061408,0.917588415502809,0.62,27
4,"MAR",0.1,"Complete data","wasted","wealth",5,0.000460622096597525,0.00144478648252658,0.9476,0.932,0
