"scenario","mechanism","rate","method","outcome","axis","n_groups","mean_abs_bias","max_abs_bias","mean_coverage","min_coverage","n_degenerate_ci"
1,"MCAR",0.1,"Complete data","stunted","region",23,0.00769701467709414,0.0191124179004741,0.923913043478261,0.85,0
1,"MCAR",0.1,"Complete data","stunted","wealth",5,0.00241604469004503,0.00749661309628574,0.96,0.95,0
1,"MCAR",0.1,"Complete data","wasted","region",23,0.00434951174690126,0.0153560640079892,0.910869565217391,0.65,0
1,"MCAR",0.1,"Complete data","wasted","wealth",5,0.00166846632188654,0.00329236627179395,0.94,0.8,0
1,"MCAR",0.1,"CCA","stunted","region",23,0.00691694403451226,0.0186919969596795,0.934782608695652,0.8,0
1,"MCAR",0.1,"CCA","stunted","wealth",5,0.00237653998288098,0.00784150191826288,0.97,0.9,0
1,"MCAR",0.1,"CCA","wasted","region",23,0.00489134552771665,0.0170275199971453,0.910869565217391,0.65,0
1,"MCAR",0.1,"CCA","wasted","wealth",5,0.00195865192280025,0.00472208099726591,0.93,0.75,0
1,"MCAR",0.1,"IPW","stunted","region",23,0.00691897423558922,0.0190369278177165,0.93695652173913,0.8,0
1,"MCAR",0.1,"IPW","stunted","wealth",5,0.00226691236242892,0.00759238061440654,0.97,0.9,0
1,"MCAR",0.1,"IPW","wasted","region",23,0.00493140371193253,0.0170377621413651,0.908695652173913,0.65,0
1,"MCAR",0.1,"IPW","wasted","wealth",5,0.00194242666979025,0.0046211449786243,0.93,0.75,0
1,"MCAR",0.1,"MI-PMM","stunted","region",23,0.00700223473729283,0.0222923968222218,0.939130434782609,0.85,0
1,"MCAR",0.1,"MI-PMM","stunted","wealth",5,0.00332004204107326,0.0083317490883108,0.95,0.85,0
1,"MCAR",0.1,"MI-PMM","wasted","region",23,0.0047754712499869,0.0183313691520949,0.921739130434783,0.7,0
1,"MCAR",0.1,"MI-PMM","wasted","wealth",5,0.00187100860319477,0.00416705045015439,0.96,0.85,0
1,"MCAR",0.1,"MI-RF","stunted","region",23,0.00706055886879915,0.0212893607901125,0.945652173913043,0.8,0
1,"MCAR",0.1,"MI-RF","stunted","wealth",5,0.00310067549894518,0.00785717377881856,0.97,0.9,0
1,"MCAR",0.1,"MI-RF","wasted","region",23,0.00504910283630392,0.0180986652146977,0.91304347826087,0.7,0
1,"MCAR",0.1,"MI-RF","wasted","wealth",5,0.00160448310418868,0.0044701088478113,0.94,0.8,0
2,"MCAR",0.3,"Complete data","stunted","region",23,0.00705085985951084,0.0229662122663639,0.917391304347826,0.8,0
2,"MCAR",0.3,"Complete data","stunted","wealth",5,0.00440442590326775,0.00882243121953613,0.97,0.95,0
2,"MCAR",0.3,"Complete data","wasted","region",23,0.00418929031222884,0.0118976897487918,0.90858123569794,0.45,1
2,"MCAR",0.3,"Complete data","wasted","wealth",5,0.00212198422516003,0.00424942132086868,0.97,0.95,0
2,"MCAR",0.3,"CCA","stunted","region",23,0.00960539720329089,0.0261589110720897,0.930434782608696,0.85,0
2,"MCAR",0.3,"CCA","stunted","wealth",5,0.004202108013857,0.00910566002637669,0.95,0.85,0
2,"MCAR",0.3,"CCA","wasted","region",23,0.00456322793344211,0.0122509431739594,0.910399186371726,0.75,3
2,"MCAR",0.3,"CCA","wasted","wealth",5,0.00231644951467202,0.00618031257601356,0.97,0.95,0
2,"MCAR",0.3,"IPW","stunted","region",23,0.00964498212396446,0.0262859701201575,0.928260869565217,0.85,0
2,"MCAR",0.3,"IPW","stunted","wealth",5,0.00400251056935602,0.00834259688112871,0.95,0.85,0
2,"MCAR",0.3,"IPW","wasted","region",23,0.00450472978616881,0.0123784752645792,0.908225273328248,0.75,3
2,"MCAR",0.3,"IPW","wasted","wealth",5,0.00224846213973798,0.00612147808299543,0.97,0.95,0
2,"MCAR",0.3,"MI-PMM","stunted","region",23,0.0102150596969593,0.0319963005493111,0.95,0.85,0
2,"MCAR",0.3,"MI-PMM","stunted","wealth",5,0.00699591913608427,0.0197266623072534,0.95,0.85,0
2,"MCAR",0.3,"MI-PMM","wasted","region",23,0.00651225175348719,0.0146312610982738,0.956178489702517,0.8,1
2,"MCAR",0.3,"MI-PMM","wasted","wealth",5,0.00260386004207964,0.0083521445788375,0.97,0.95,0
2,"MCAR",0.3,"MI-RF","stunted","region",23,0.013667683949147,0.0354558949793241,0.95,0.85,0
2,"MCAR",0.3,"MI-RF","stunted","wealth",5,0.00805651384647927,0.0177892216730874,0.95,0.8,0
2,"MCAR",0.3,"MI-RF","wasted","region",23,0.0064490814763583,0.0203645252780241,0.931528095601322,0.777777777777778,3
2,"MCAR",0.3,"MI-RF","wasted","wealth",5,0.00321139986845269,0.00692886938614889,0.97,0.9,0
3,"MCAR",0.5,"Complete data","stunted","region",23,0.00652835025310247,0.0149851779343239,0.939130434782609,0.8,0
3,"MCAR",0.5,"Complete data","stunted","wealth",5,0.0016656645133716,0.00395233573017878,0.97,0.9,0
3,"MCAR",0.5,"Complete data","wasted","region",23,0.00338333497608201,0.0103572426671286,0.912700228832952,0.6,1
3,"MCAR",0.5,"Complete data","wasted","wealth",5,0.000651506789232313,0.00130785629696881,0.92,0.9,0
3,"MCAR",0.5,"CCA","stunted","region",23,0.00879941724584476,0.0210755260982058,0.934782608695652,0.8,0
3,"MCAR",0.5,"CCA","stunted","wealth",5,0.0050997125461991,0.00931978268316952,0.96,0.9,0
3,"MCAR",0.5,"CCA","wasted","region",23,0.00490416298836099,0.0193196639873935,0.938888888888889,0.85,2
3,"MCAR",0.5,"CCA","wasted","wealth",5,0.00197825955658998,0.00487092339456395,0.96,0.9,0
3,"MCAR",0.5,"IPW","stunted","region",23,0.00908459187435578,0.0207456883272438,0.934782608695652,0.8,0
3,"MCAR",0.5,"IPW","stunted","wealth",5,0.00508565711428698,0.00911397822390675,0.95,0.85,0
3,"MCAR",0.5,"IPW","wasted","region",23,0.00477182536157094,0.0203350124176215,0.936714975845411,0.85,2
3,"MCAR",0.5,"IPW","wasted","wealth",5,0.00201688003435333,0.00486585634504955,0.95,0.9,0
3,"MCAR",0.5,"MI-PMM","stunted","region",23,0.0109059244008897,0.0368834187341949,0.95,0.85,0
3,"MCAR",0.5,"MI-PMM","stunted","wealth",5,0.00666139363775037,0.0163813494258025,0.97,0.9,0
3,"MCAR",0.5,"MI-PMM","wasted","region",23,0.00746754604760373,0.0160316842545222,0.975858123569794,0.894736842105263,1
3,"MCAR",0.5,"MI-PMM","wasted","wealth",5,0.00186299327272834,0.0051035866135211,0.97,0.95,0
3,"MCAR",0.5,"MI-RF","stunted","region",23,0.0178661567865329,0.0397941355292367,0.939130434782609,0.85,0
3,"MCAR",0.5,"MI-RF","stunted","wealth",5,0.00740774903317389,0.0131018594095575,0.94,0.85,0
3,"MCAR",0.5,"MI-RF","wasted","region",23,0.00785034359297092,0.0184646327053987,0.947711670480549,0.7,1
3,"MCAR",0.5,"MI-RF","wasted","wealth",5,0.00356835347900758,0.00789544841522195,0.98,0.95,0
4,"MAR",0.1,"Complete data","stunted","region",23,0.00554873171738167,0.015136793841008,0.928260869565217,0.8,0
4,"MAR",0.1,"Complete data","stunted","wealth",5,0.000798495241764408,0.00226511920640921,0.95,0.9,0
4,"MAR",0.1,"Complete data","wasted","region",23,0.00239558498519884,0.00682589186832351,0.934553775743707,0.65,1
4,"MAR",0.1,"Complete data","wasted","wealth",5,0.00121376166191431,0.00269382707316425,0.96,0.85,0
4,"MAR",0.1,"CCA","stunted","region",23,0.00627655632854709,0.0164192427890981,0.93695652173913,0.85,0
4,"MAR",0.1,"CCA","stunted","wealth",5,0.00122626982035567,0.00191481898460077,0.94,0.9,0
4,"MAR",0.1,"CCA","wasted","region",23,0.00253411566306916,0.0075171885365683,0.949885583524027,0.75,1
4,"MAR",0.1,"CCA","wasted","wealth",5,0.0014220132042134,0.00348852425529651,0.96,0.9,0
4,"MAR",0.1,"IPW","stunted","region",23,0.00564400639800581,0.0168853495109276,0.932608695652174,0.85,0
4,"MAR",0.1,"IPW","stunted","wealth",5,0.000699284240818943,0.00151537812177988,0.94,0.9,0
4,"MAR",0.1,"IPW","wasted","region",23,0.00234359987232434,0.00693987293870316,0.951945080091533,0.75,1
4,"MAR",0.1,"IPW","wasted","wealth",5,0.00103727605381547,0.00308354687368895,0.96,0.9,0
4,"MAR",0.1,"MI-PMM","stunted","region",23,0.00626901292645021,0.0154102485315534,0.945652173913043,0.85,0
4,"MAR",0.1,"MI-PMM","stunted","wealth",5,0.0021814519840148,0.00355530675717641,0.94,0.9,0
4,"MAR",0.1,"MI-PMM","wasted","region",23,0.00259463050816329,0.00790063572209043,0.965102974828375,0.8,1
4,"MAR",0.1,"MI-PMM","wasted","wealth",5,0.00140048554893109,0.00294328087285151,0.96,0.9,0
4,"MAR",0.1,"MI-RF","stunted","region",23,0.00494469152753355,0.012428575528212,0.945652173913043,0.85,0
4,"MAR",0.1,"MI-RF","stunted","wealth",5,0.00154446758788569,0.00373193238692826,0.96,0.9,0
4,"MAR",0.1,"MI-RF","wasted","region",23,0.00268115532622868,0.00869916358821717,0.962929061784897,0.8,1
4,"MAR",0.1,"MI-RF","wasted","wealth",5,0.0014292638379846,0.00263940338237642,0.97,0.95,0
5,"MAR",0.3,"Complete data","stunted","region",23,0.00628947537071722,0.0154045232559031,0.95,0.85,0
5,"MAR",0.3,"Complete data","stunted","wealth",5,0.00357395473005443,0.0062385453872203,0.94,0.9,0
5,"MAR",0.3,"Complete data","wasted","region",23,0.00370108664629068,0.0105812599156179,0.919565217391304,0.45,0
5,"MAR",0.3,"Complete data","wasted","wealth",5,0.00145640223661425,0.00308556892351541,0.95,0.9,0
5,"MAR",0.3,"CCA","stunted","region",23,0.00775684716032527,0.0189119692900153,0.945652173913043,0.85,0
5,"MAR",0.3,"CCA","stunted","wealth",5,0.00480997794463978,0.00858279742661455,0.93,0.85,0
5,"MAR",0.3,"CCA","wasted","region",23,0.00371242342138717,0.0130200875489354,0.936600559369438,0.55,3
5,"MAR",0.3,"CCA","wasted","wealth",5,0.00117720293732372,0.00329380733238602,0.95,0.9,0
5,"MAR",0.3,"IPW","stunted","region",23,0.00638885197720512,0.0171451805056237,0.941304347826087,0.8,0
5,"MAR",0.3,"IPW","stunted","wealth",5,0.00408050960139314,0.0069235049598777,0.93,0.85,0
5,"MAR",0.3,"IPW","wasted","region",23,0.00394491561172052,0.0125651269424479,0.918980422069667,0.55,3
5,"MAR",0.3,"IPW","wasted","wealth",5,0.00171514493927686,0.00333080234934259,0.91,0.8,0
5,"MAR",0.3,"MI-PMM","stunted","region",23,0.0105935241834011,0.0315129080707777,0.956521739130435,0.85,0
5,"MAR",0.3,"MI-PMM","stunted","wealth",5,0.00799763402480488,0.018646084288741,0.96,0.9,0
5,"MAR",0.3,"MI-PMM","wasted","region",23,0.00460137895177216,0.0116187753860811,0.949771167048055,0.8,2
5,"MAR",0.3,"MI-PMM","wasted","wealth",5,0.00153578069604436,0.00279017125439454,0.96,0.9,0
5,"MAR",0.3,"MI-RF","stunted","region",23,0.0113245281007968,0.0336327111049148,0.941304347826087,0.85,0
5,"MAR",0.3,"MI-RF","stunted","wealth",5,0.00836969734635968,0.0167987200383334,0.93,0.85,0
5,"MAR",0.3,"MI-RF","wasted","region",23,0.00534450295989069,0.0139419932808447,0.953991863717264,0.8,3
5,"MAR",0.3,"MI-RF","wasted","wealth",5,0.00166288140989808,0.0041263052974668,0.97,0.95,0
6,"MAR",0.5,"Complete data","stunted","region",23,0.00626901707365377,0.0209763964765278,0.926086956521739,0.85,0
6,"MAR",0.5,"Complete data","stunted","wealth",5,0.0023448816621193,0.00608736412589655,0.95,0.9,0
6,"MAR",0.5,"Complete data","wasted","region",23,0.0042217838413135,0.0199990180578636,0.919450800915332,0.35,1
6,"MAR",0.5,"Complete data","wasted","wealth",5,0.00109589824632578,0.00198635134812342,0.97,0.95,0
6,"MAR",0.5,"CCA","stunted","region",23,0.0124749691312616,0.0412502462792904,0.934782608695652,0.8,0
6,"MAR",0.5,"CCA","stunted","wealth",5,0.00577385590292003,0.0108822688968541,0.95,0.8,0
6,"MAR",0.5,"CCA","wasted","region",23,0.00535017792262963,0.0178149618930721,0.95,0.65,3
6,"MAR",0.5,"CCA","wasted","wealth",5,0.00178093551776657,0.00266185607887803,0.94,0.8,0
6,"MAR",0.5,"IPW","stunted","region",23,0.00979601153661396,0.0370255124824529,0.928260869565217,0.8,0
6,"MAR",0.5,"IPW","stunted","wealth",5,0.00515804333194666,0.0110852811302001,0.96,0.85,0
6,"MAR",0.5,"IPW","wasted","region",23,0.00624508782941738,0.0180600910705558,0.95,0.85,3
6,"MAR",0.5,"IPW","wasted","wealth",5,0.00285687493418991,0.00572352251749643,0.92,0.8,0
6,"MAR",0.5,"MI-PMM","stunted","region",23,0.0109920393443213,0.0295549721036811,0.965217391304348,0.9,0
6,"MAR",0.5,"MI-PMM","stunted","wealth",5,0.00966672803563589,0.0223379322031585,0.94,0.85,0
6,"MAR",0.5,"MI-PMM","wasted","region",23,0.00776155686831632,0.0149934502071478,0.978260869565217,0.9,0
6,"MAR",0.5,"MI-PMM","wasted","wealth",5,0.00319932676020357,0.00446657333874007,0.97,0.85,0
6,"MAR",0.5,"MI-RF","stunted","region",23,0.0174954403224031,0.0628396014685257,0.926086956521739,0.75,0
6,"MAR",0.5,"MI-RF","stunted","wealth",5,0.00735680995938666,0.0215201121994005,0.94,0.9,0
6,"MAR",0.5,"MI-RF","wasted","region",23,0.00802193554587137,0.0190709034408468,0.978146453089245,0.9,1
6,"MAR",0.5,"MI-RF","wasted","wealth",5,0.00266876705859084,0.00626233022410679,0.95,0.8,0
7,"MNAR",0.1,"Complete data","stunted","region",23,0.00693495671874189,0.0302163213569012,0.943478260869565,0.9,0
