"scenario","mechanism","rate","method","outcome","n_sim","mean_spearman","mean_topk_overlap","p_topk_exact","p_rank1_correct"
1,"MCAR",0.1,"Complete data","stunted",500,0.924166007905138,0.6868,0.064,0.342
1,"MCAR",0.1,"Complete data","wasted",500,0.869099264528128,0.7276,0.08,0.632
1,"MCAR",0.1,"CCA","stunted",500,0.919671936758893,0.6824,0.064,0.336
1,"MCAR",0.1,"CCA","wasted",500,0.860340370759102,0.7144,0.072,0.632
1,"MCAR",0.1,"IPW","stunted",500,0.919806324110672,0.682,0.062,0.332
1,"MCAR",0.1,"IPW","wasted",500,0.860287014982457,0.7148,0.068,0.636
1,"MCAR",0.1,"MI-PMM","stunted",500,0.921310276679842,0.6836,0.048,0.33
1,"MCAR",0.1,"MI-PMM","wasted",500,0.866530106777494,0.722,0.066,0.67
1,"MCAR",0.1,"MI-RF","stunted",500,0.921009881422925,0.6848,0.056,0.34
1,"MCAR",0.1,"MI-RF","wasted",500,0.862577529304842,0.7148,0.066,0.642
2,"MCAR",0.3,"Complete data","stunted",500,0.924373517786561,0.6908,0.056,0.282
2,"MCAR",0.3,"Complete data","wasted",500,0.868646245059289,0.7332,0.102,0.63
2,"MCAR",0.3,"CCA","stunted",500,0.90798418972332,0.66,0.038,0.254
2,"MCAR",0.3,"CCA","wasted",500,0.830450592885375,0.6988,0.062,0.546
2,"MCAR",0.3,"IPW","stunted",500,0.908055335968379,0.66,0.038,0.258
2,"MCAR",0.3,"IPW","wasted",500,0.830395256916996,0.6964,0.064,0.546
2,"MCAR",0.3,"MI-PMM","stunted",500,0.913428853754941,0.6604,0.036,0.304
2,"MCAR",0.3,"MI-PMM","wasted",500,0.85246837944664,0.7188,0.078,0.65
2,"MCAR",0.3,"MI-RF","stunted",500,0.911416996047431,0.678,0.052,0.312
2,"MCAR",0.3,"MI-RF","wasted",500,0.838788537549407,0.6964,0.06,0.614
3,"MCAR",0.5,"Complete data","stunted",500,0.922804347826087,0.6892,0.064,0.326
3,"MCAR",0.5,"Complete data","wasted",500,0.864288537549407,0.7268,0.09,0.628
3,"MCAR",0.5,"CCA","stunted",500,0.887630434782609,0.634,0.04,0.278
3,"MCAR",0.5,"CCA","wasted",500,0.788395786637449,0.6644,0.054,0.494
3,"MCAR",0.5,"IPW","stunted",500,0.887367588932806,0.6352,0.044,0.276
3,"MCAR",0.5,"IPW","wasted",500,0.788530117771757,0.6616,0.054,0.492
3,"MCAR",0.5,"MI-PMM","stunted",500,0.8919604743083,0.636,0.032,0.304
3,"MCAR",0.5,"MI-PMM","wasted",500,0.830666373223535,0.7,0.072,0.654
3,"MCAR",0.5,"MI-RF","stunted",500,0.892245059288538,0.6688,0.052,0.33
3,"MCAR",0.5,"MI-RF","wasted",500,0.802633152937039,0.666,0.048,0.604
4,"MAR",0.1,"Complete data","stunted",500,0.924166007905138,0.7028,0.074,0.3
4,"MAR",0.1,"Complete data","wasted",500,0.870173913043478,0.7212,0.076,0.65
4,"MAR",0.1,"CCA","stunted",500,0.92152766798419,0.7064,0.08,0.32
4,"MAR",0.1,"CCA","wasted",500,0.863353754940711,0.7068,0.066,0.632
4,"MAR",0.1,"IPW","stunted",500,0.919478260869565,0.69,0.064,0.294
4,"MAR",0.1,"IPW","wasted",500,0.861450592885376,0.71,0.062,0.608
4,"MAR",0.1,"MI-PMM","stunted",500,0.923478260869565,0.71,0.084,0.324
4,"MAR",0.1,"MI-PMM","wasted",500,0.869596837944664,0.7156,0.072,0.642
4,"MAR",0.1,"MI-RF","stunted",500,0.923088932806324,0.7144,0.094,0.308
4,"MAR",0.1,"MI-RF","wasted",500,0.865266798418972,0.7164,0.074,0.596
5,"MAR",0.3,"Complete data","stunted",500,0.922454545454545,0.6856,0.068,0.31
5,"MAR",0.3,"Complete data","wasted",500,0.868561264822134,0.7324,0.084,0.648
5,"MAR",0.3,"CCA","stunted",500,0.908225296442688,0.6784,0.058,0.352
5,"MAR",0.3,"CCA","wasted",500,0.837156126482213,0.682,0.04,0.558
5,"MAR",0.3,"IPW","stunted",500,0.901416996047431,0.6468,0.04,0.312
5,"MAR",0.3,"IPW","wasted",500,0.828865612648221,0.6872,0.044,0.524
5,"MAR",0.3,"MI-PMM","stunted",500,0.911525691699605,0.682,0.06,0.356
5,"MAR",0.3,"MI-PMM","wasted",500,0.860162055335968,0.72,0.076,0.572
5,"MAR",0.3,"MI-RF","stunted",500,0.914258893280632,0.7044,0.076,0.354
5,"MAR",0.3,"MI-RF","wasted",500,0.845916996047431,0.7116,0.062,0.496
6,"MAR",0.5,"Complete data","stunted",500,0.925662055335968,0.6868,0.048,0.346
6,"MAR",0.5,"Complete data","wasted",500,0.871705533596838,0.7224,0.09,0.632
6,"MAR",0.5,"CCA","stunted",500,0.891851778656127,0.6684,0.032,0.326
6,"MAR",0.5,"CCA","wasted",500,0.801369981084553,0.6484,0.044,0.52
6,"MAR",0.5,"IPW","stunted",500,0.876942687747036,0.6192,0.02,0.302
6,"MAR",0.5,"IPW","wasted",500,0.780243487638063,0.6484,0.044,0.484
6,"MAR",0.5,"MI-PMM","stunted",500,0.895330039525692,0.6668,0.034,0.354
6,"MAR",0.5,"MI-PMM","wasted",500,0.843211462450593,0.6944,0.076,0.564
6,"MAR",0.5,"MI-RF","stunted",500,0.900612648221344,0.7192,0.088,0.33
6,"MAR",0.5,"MI-RF","wasted",500,0.81889669364879,0.6828,0.048,0.4
7,"MAR-strong",0.1,"Complete data","stunted",500,0.922292490118577,0.6872,0.062,0.33
7,"MAR-strong",0.1,"Complete data","wasted",500,0.868071146245059,0.722,0.07,0.63
7,"MAR-strong",0.1,"CCA","stunted",500,0.917944664031621,0.6832,0.062,0.308
7,"MAR-strong",0.1,"CCA","wasted",500,0.858339920948617,0.684,0.044,0.588
7,"MAR-strong",0.1,"IPW","stunted",500,0.91853557312253,0.6708,0.052,0.318
7,"MAR-strong",0.1,"IPW","wasted",500,0.859371541501976,0.7064,0.064,0.6
7,"MAR-strong",0.1,"MI-PMM","stunted",500,0.919446640316205,0.6724,0.046,0.316
7,"MAR-strong",0.1,"MI-PMM","wasted",500,0.865646245059289,0.6964,0.054,0.616
7,"MAR-strong",0.1,"MI-RF","stunted",500,0.919739130434783,0.6844,0.058,0.318
7,"MAR-strong",0.1,"MI-RF","wasted",500,0.857810276679842,0.6888,0.054,0.598
8,"MAR-strong",0.3,"Complete data","stunted",500,0.925361660079051,0.6884,0.052,0.348
8,"MAR-strong",0.3,"Complete data","wasted",500,0.871254940711462,0.7292,0.088,0.648
8,"MAR-strong",0.3,"CCA","stunted",500,0.902614624505929,0.6764,0.048,0.244
8,"MAR-strong",0.3,"CCA","wasted",500,0.822762845849802,0.6044,0.01,0.46
8,"MAR-strong",0.3,"IPW","stunted",500,0.904679841897233,0.6564,0.036,0.284
8,"MAR-strong",0.3,"IPW","wasted",500,0.824069169960474,0.6556,0.03,0.502
8,"MAR-strong",0.3,"MI-PMM","stunted",500,0.904385375494071,0.646,0.028,0.234
8,"MAR-strong",0.3,"MI-PMM","wasted",500,0.85004743083004,0.666,0.03,0.536
