"scenario","mechanism","rate","method","outcome","n_sim","mean_spearman","mean_topk_overlap","p_topk_exact","p_rank1_correct"
1,"MCAR",0.1,"Complete data","stunted",20,0.929792490118577,0.75,0,0.3
1,"MCAR",0.1,"Complete data","wasted",20,0.851383399209486,0.72,0,0.7
1,"MCAR",0.1,"CCA","stunted",20,0.930237154150198,0.76,0.05,0.25
1,"MCAR",0.1,"CCA","wasted",20,0.835622529644269,0.7,0,0.65
1,"MCAR",0.1,"IPW","stunted",20,0.931225296442688,0.75,0.05,0.25
1,"MCAR",0.1,"IPW","wasted",20,0.835869565217391,0.7,0,0.65
1,"MCAR",0.1,"MI-PMM","stunted",20,0.933843873517787,0.76,0,0.3
1,"MCAR",0.1,"MI-PMM","wasted",20,0.8425395256917,0.71,0,0.65
1,"MCAR",0.1,"MI-RF","stunted",20,0.931521739130435,0.75,0,0.3
1,"MCAR",0.1,"MI-RF","wasted",20,0.840118577075099,0.72,0,0.65
2,"MCAR",0.3,"Complete data","stunted",20,0.921442687747036,0.69,0.05,0
2,"MCAR",0.3,"Complete data","wasted",20,0.85899209486166,0.68,0.15,0.9
2,"MCAR",0.3,"CCA","stunted",20,0.900691699604743,0.65,0,0.1
2,"MCAR",0.3,"CCA","wasted",20,0.806620553359684,0.63,0.1,0.65
2,"MCAR",0.3,"IPW","stunted",20,0.901037549407115,0.66,0,0.1
2,"MCAR",0.3,"IPW","wasted",20,0.807855731225296,0.61,0.1,0.65
2,"MCAR",0.3,"MI-PMM","stunted",20,0.908498023715415,0.65,0,0.2
2,"MCAR",0.3,"MI-PMM","wasted",20,0.831126482213439,0.66,0.15,0.75
2,"MCAR",0.3,"MI-RF","stunted",20,0.90647233201581,0.69,0.05,0.1
2,"MCAR",0.3,"MI-RF","wasted",20,0.812450592885375,0.66,0.15,0.8
3,"MCAR",0.5,"Complete data","stunted",20,0.92554347826087,0.68,0.05,0.35
3,"MCAR",0.5,"Complete data","wasted",20,0.869664031620553,0.77,0.15,0.55
3,"MCAR",0.5,"CCA","stunted",20,0.896689723320158,0.66,0,0.4
3,"MCAR",0.5,"CCA","wasted",20,0.792934782608696,0.65,0,0.35
3,"MCAR",0.5,"IPW","stunted",20,0.898764822134387,0.67,0.05,0.4
3,"MCAR",0.5,"IPW","wasted",20,0.792737154150198,0.65,0.05,0.35
3,"MCAR",0.5,"MI-PMM","stunted",20,0.90296442687747,0.68,0.1,0.4
3,"MCAR",0.5,"MI-PMM","wasted",20,0.829743083003953,0.73,0.1,0.45
3,"MCAR",0.5,"MI-RF","stunted",20,0.901729249011858,0.73,0.1,0.45
3,"MCAR",0.5,"MI-RF","wasted",20,0.794367588932806,0.67,0,0.4
4,"MAR",0.1,"Complete data","stunted",20,0.928260869565217,0.69,0,0.25
4,"MAR",0.1,"Complete data","wasted",20,0.879199604743083,0.72,0,0.75
4,"MAR",0.1,"CCA","stunted",20,0.923567193675889,0.67,0,0.35
4,"MAR",0.1,"CCA","wasted",20,0.869169960474308,0.71,0.05,0.75
4,"MAR",0.1,"IPW","stunted",20,0.922826086956522,0.65,0,0.3
4,"MAR",0.1,"IPW","wasted",20,0.869268774703557,0.71,0.05,0.7
4,"MAR",0.1,"MI-PMM","stunted",20,0.926581027667984,0.68,0,0.35
4,"MAR",0.1,"MI-PMM","wasted",20,0.874308300395257,0.71,0.05,0.8
4,"MAR",0.1,"MI-RF","stunted",20,0.926778656126482,0.68,0,0.4
4,"MAR",0.1,"MI-RF","wasted",20,0.870158102766798,0.71,0.05,0.7
5,"MAR",0.3,"Complete data","stunted",20,0.931126482213439,0.72,0.05,0.45
5,"MAR",0.3,"Complete data","wasted",20,0.855187747035573,0.75,0.05,0.7
5,"MAR",0.3,"CCA","stunted",20,0.921541501976285,0.73,0.1,0.45
5,"MAR",0.3,"CCA","wasted",20,0.834387351778656,0.73,0.1,0.7
5,"MAR",0.3,"IPW","stunted",20,0.914575098814229,0.69,0.05,0.4
5,"MAR",0.3,"IPW","wasted",20,0.812648221343873,0.74,0.1,0.65
5,"MAR",0.3,"MI-PMM","stunted",20,0.917885375494071,0.69,0,0.3
5,"MAR",0.3,"MI-PMM","wasted",20,0.853013833992095,0.75,0.1,0.65
5,"MAR",0.3,"MI-RF","stunted",20,0.926778656126482,0.74,0.15,0.45
5,"MAR",0.3,"MI-RF","wasted",20,0.832756916996047,0.79,0.3,0.6
6,"MAR",0.5,"Complete data","stunted",20,0.92401185770751,0.69,0,0.25
6,"MAR",0.5,"Complete data","wasted",20,0.880138339920949,0.75,0.15,0.75
6,"MAR",0.5,"CCA","stunted",20,0.893478260869565,0.67,0.1,0.3
6,"MAR",0.5,"CCA","wasted",20,0.809436758893281,0.65,0.05,0.6
6,"MAR",0.5,"IPW","stunted",20,0.872084980237154,0.61,0.05,0.25
6,"MAR",0.5,"IPW","wasted",20,0.781719367588933,0.65,0.05,0.6
6,"MAR",0.5,"MI-PMM","stunted",20,0.901284584980237,0.64,0,0.4
6,"MAR",0.5,"MI-PMM","wasted",20,0.846096837944664,0.72,0.1,0.7
6,"MAR",0.5,"MI-RF","stunted",20,0.896442687747036,0.71,0.1,0.35
6,"MAR",0.5,"MI-RF","wasted",20,0.836067193675889,0.71,0.05,0.65
7,"MNAR",0.1,"Complete data","stunted",20,0.91798418972332,0.66,0,0.25
7,"MNAR",0.1,"Complete data","wasted",20,0.873369565217391,0.7,0,0.65
7,"MNAR",0.1,"CCA","stunted",20,0.918922924901186,0.75,0,0.25
7,"MNAR",0.1,"CCA","wasted",20,0.858250988142293,0.74,0,0.25
7,"MNAR",0.1,"IPW","stunted",20,0.917440711462451,0.71,0,0.25
7,"MNAR",0.1,"IPW","wasted",20,0.857559288537549,0.75,0,0.25
7,"MNAR",0.1,"MI-PMM","stunted",20,0.920207509881423,0.76,0.1,0.25
7,"MNAR",0.1,"MI-PMM","wasted",20,0.867440711462451,0.76,0,0.3
7,"MNAR",0.1,"MI-RF","stunted",20,0.922875494071146,0.77,0.1,0.25
7,"MNAR",0.1,"MI-RF","wasted",20,0.857559288537549,0.73,0.05,0.25
8,"MNAR",0.3,"Complete data","stunted",20,0.926729249011858,0.69,0.05,0.25
8,"MNAR",0.3,"Complete data","wasted",20,0.88102766798419,0.72,0.05,0.7
8,"MNAR",0.3,"CCA","stunted",20,0.893428853754941,0.74,0.1,0.25
8,"MNAR",0.3,"CCA","wasted",20,0.770454545454546,0.71,0.05,0.1
8,"MNAR",0.3,"IPW","stunted",20,0.887351778656126,0.72,0.05,0.2
8,"MNAR",0.3,"IPW","wasted",20,0.756867588932806,0.72,0.1,0.1
8,"MNAR",0.3,"MI-PMM","stunted",20,0.887845849802372,0.75,0.15,0.25
8,"MNAR",0.3,"MI-PMM","wasted",20,0.820602766798419,0.76,0.15,0.1
8,"MNAR",0.3,"MI-RF","stunted",20,0.904001976284585,0.76,0.15,0.25
8,"MNAR",0.3,"MI-RF","wasted",20,0.772529644268775,0.71,0.15,0.1
9,"MNAR",0.5,"Complete data","stunted",20,0.934239130434783,0.77,0.15,0.25
9,"MNAR",0.5,"Complete data","wasted",20,0.880385375494071,0.71,0.05,0.7
9,"MNAR",0.5,"CCA","stunted",20,0.849357707509881,0.76,0.2,0.25
9,"MNAR",0.5,"CCA","wasted",20,0.698807102971958,0.66,0.05,0.15
9,"MNAR",0.5,"IPW","stunted",20,0.832213438735178,0.69,0.15,0.3
9,"MNAR",0.5,"IPW","wasted",20,0.675187021289506,0.68,0.05,0.2
9,"MNAR",0.5,"MI-PMM","stunted",20,0.831175889328063,0.72,0.05,0.2
9,"MNAR",0.5,"MI-PMM","wasted",20,0.779325648116083,0.73,0.15,0.2
9,"MNAR",0.5,"MI-RF","stunted",20,0.860820158102767,0.75,0.2,0.25
9,"MNAR",0.5,"MI-RF","wasted",20,0.715439547711378,0.7,0,0.15
10,"MAR",0.3,"MI-RF (ntree=50)","stunted",4,0.922430830039526,0.7,0,0.5
10,"MAR",0.3,"MI-RF (ntree=50)","wasted",4,0.848073122529644,0.65,0,0.25
