"scenario","method","n_reps","mean_seconds","mean_miss_rate","mean_miss_rate_weighted","n_errors","label"
1,"CCA",20,0.660999999999936,0.0986294216685864,0.0987501510604624,0,"MCAR 10%"
1,"Complete data",20,0.721000000000073,0.0986294216685864,0.0987501510604624,0,"MCAR 10%"
1,"IPW",20,1.27100000000003,0.0986294216685864,0.0987501510604624,0,"MCAR 10%"
1,"MI-PMM",20,20.8245,0.0986294216685864,0.0987501510604624,0,"MCAR 10%"
1,"MI-RF",20,73.9065,0.0986294216685864,0.0987501510604624,0,"MCAR 10%"
2,"CCA",20,0.585499999999941,0.302200689576797,0.303111730392394,0,"MCAR 30%"
2,"Complete data",20,0.689500000000017,0.302200689576797,0.303111730392394,0,"MCAR 30%"
2,"IPW",20,1.12950000000006,0.302200689576797,0.303111730392394,0,"MCAR 30%"
2,"MI-PMM",20,18.175,0.302200689576797,0.303111730392394,0,"MCAR 30%"
2,"MI-RF",20,66.0885,0.302200689576797,0.303111730392394,0,"MCAR 30%"
3,"CCA",20,0.603499999999971,0.499902625378372,0.499995775416833,0,"MCAR 50%"
3,"Complete data",20,0.726999999999982,0.499902625378372,0.499995775416833,0,"MCAR 50%"
3,"IPW",20,1.114,0.499902625378372,0.499995775416833,0,"MCAR 50%"
3,"MI-PMM",20,16.7590000000001,0.499902625378372,0.499995775416833,0,"MCAR 50%"
3,"MI-RF",20,59.4145,0.499902625378372,0.499995775416833,0,"MCAR 50%"
4,"CCA",20,0.628999999999985,0.100029177740087,0.102274272533141,0,"MAR 10%"
4,"Complete data",20,0.68749999999996,0.100029177740087,0.102274272533141,0,"MAR 10%"
4,"IPW",20,1.28750000000002,0.100029177740087,0.102274272533141,0,"MAR 10%"
4,"MI-PMM",20,20.746,0.100029177740087,0.102274272533141,0,"MAR 10%"
4,"MI-RF",20,71.2705,0.100029177740087,0.102274272533141,0,"MAR 10%"
5,"CCA",20,0.614000000000011,0.296331511094228,0.303823120363766,0,"MAR 30%"
5,"Complete data",20,0.681999999999967,0.296331511094228,0.303823120363766,0,"MAR 30%"
5,"IPW",20,1.10300000000005,0.296331511094228,0.303823120363766,0,"MAR 30%"
5,"MI-PMM",20,18.2724999999999,0.296331511094228,0.303823120363766,0,"MAR 30%"
5,"MI-RF",20,65.587,0.296331511094228,0.303823120363766,0,"MAR 30%"
6,"CCA",20,0.539000000000006,0.499702017688734,0.510223237743824,0,"MAR 50%"
6,"Complete data",20,0.685499999999975,0.499702017688734,0.510223237743824,0,"MAR 50%"
6,"IPW",20,1.05949999999994,0.499702017688734,0.510223237743824,0,"MAR 50%"
6,"MI-PMM",20,16.5295000000001,0.499702017688734,0.510223237743824,0,"MAR 50%"
6,"MI-RF",20,60.436,0.499702017688734,0.510223237743824,0,"MAR 50%"
7,"CCA",20,0.65500000000002,0.0999199716598621,0.102423792990706,0,"MNAR 10%"
7,"Complete data",20,0.757999999999948,0.0999199716598621,0.102423792990706,0,"MNAR 10%"
7,"IPW",20,1.26749999999997,0.0999199716598621,0.102423792990706,0,"MNAR 10%"
7,"MI-PMM",20,20.592,0.0999199716598621,0.102423792990706,0,"MNAR 10%"
7,"MI-RF",20,71.603,0.0999199716598621,0.102423792990706,0,"MNAR 10%"
8,"CCA",20,0.636500000000007,0.2993557143113,0.30697606878462,0,"MNAR 30%"
8,"Complete data",20,0.728999999999954,0.2993557143113,0.30697606878462,0,"MNAR 30%"
8,"IPW",20,1.17450000000006,0.2993557143113,0.30697606878462,0,"MNAR 30%"
8,"MI-PMM",20,18.2989999999999,0.2993557143113,0.30697606878462,0,"MNAR 30%"
8,"MI-RF",20,63.588,0.2993557143113,0.30697606878462,0,"MNAR 30%"
9,"CCA",20,0.552500000000008,0.502039110578621,0.511809389556883,0,"MNAR 50%"
9,"Complete data",20,0.664499999999998,0.502039110578621,0.511809389556883,0,"MNAR 50%"
9,"IPW",20,1.06349999999999,0.502039110578621,0.511809389556883,0,"MNAR 50%"
9,"MI-PMM",20,15.831,0.502039110578621,0.511809389556883,0,"MNAR 50%"
9,"MI-RF",20,58.8585,0.502039110578621,0.511809389556883,0,"MNAR 50%"
10,"MI-RF (ntree=50)",4,237.35,0.298389554257775,0.3064598930592,0,"MAR 30% (ntree=50)"
