"characteristic","level","n","pct","haz_not_valid","whz_not_valid"
"All children","",6682,"100.0","4.2","3.1"
"Sex","Male",3377,"50.3","4.2","3.0"
"Sex","Female",3305,"49.7","4.3","3.2"
"Age (months)","<6",732,"10.8","3.8","5.3"
"Age (months)","6-8",332,"5.0","2.7","2.5"
"Age (months)","9-11",348,"5.4","2.0","1.7"
"Age (months)","12-17",687,"10.4","3.0","2.1"
"Age (months)","18-23",592,"8.8","2.4","2.4"
"Age (months)","24-35",1329,"19.5","4.2","2.8"
"Age (months)","36-47",1346,"20.8","4.3","2.9"
"Age (months)","48-59",1316,"19.5","6.9","3.8"
"Residence","Urban",1248,"15.0","6.3","5.2"
"Residence","Rural",5434,"85.0","3.9","2.7"
"Region","Antananarivo",319,"3.5","5.7","5.6"
"Region","Analamanga (excl. Antananarivo)",223,"7.8","2.9","3.7"
"Region","Vakinankaratra",274,"7.2","3.8","4.5"
"Region","Itasy",261,"3.0","1.2","1.6"
"Region","Bongolava",325,"2.7","3.0","3.0"
"Region","Haute Matsiatra",259,"5.0","3.2","1.0"
"Region","Amoron'i Mania",287,"2.8","2.4","2.8"
"Region","Vatovavy Fitovinany",289,"4.7","8.8","5.3"
"Region","Ihorombe",322,"2.0","1.1","1.1"
"Region","Atsimo Atsinanana",376,"4.4","1.8","1.7"
"Region","Atsinanana",272,"5.8","3.9","2.6"
"Region","Analanjirofo",294,"5.6","2.1","1.7"
"Region","Alaotra Mangoro",258,"4.1","3.2","2.9"
"Region","Boeny",221,"3.2","1.5","1.5"
"Region","Sofia",225,"5.8","2.7","3.1"
"Region","Betsiboka",271,"1.5","4.1","3.7"
"Region","Melaky",277,"1.1","3.1","1.8"
"Region","Atsimo Andrefana",387,"9.6","6.3","4.7"
"Region","Androy",476,"5.8","9.9","3.5"
"Region","Anosy",333,"3.9","1.8","1.3"
"Region","Menabe",291,"3.2","2.3","1.8"
"Region","Diana",210,"2.5","3.7","2.7"
"Region","Sava",232,"4.9","9.8","3.8"
"Wealth quintile","Poorest",1832,"25.4","4.4","2.6"
"Wealth quintile","Poorer",1495,"21.4","4.9","3.2"
"Wealth quintile","Middle",1324,"21.3","3.3","2.5"
"Wealth quintile","Richer",1024,"16.8","3.8","3.3"
"Wealth quintile","Richest",1007,"15.1","4.8","4.5"
"Mother's interview status","Interviewed",5890,"88.2","2.4","1.7"
"Mother's interview status","Not de facto",30,"0.5","6.1","6.9"
"Mother's interview status","Interview incomplete",193,"2.9","44.6","42.4"
"Mother's interview status","Not in household",569,"8.4","9.9","4.5"
"Mother's education","None",1574,"21.3","6.3","3.2"
"Mother's education","Primary",2618,"39.7","2.9","2.6"
"Mother's education","Secondary+",1915,"30.7","2.9","3.2"
"Mother's education","Not in household",569,"8.4","9.9","4.5"
"Mother's education",NA,6,"0.1","39.5","39.5"
