"row_group","group_lab","n","CCA","CCA (outcome + covariates)","IPW","MI-PMM","MI-RF"
"Stunting — National","National","6402 / 6682","39.8 (38.0–41.7)","39.7 (37.9–41.6)","39.8 (38.0–41.7)","39.9 (38.1–41.7)","39.9 (38.1–41.7)"
"Stunting — Region","Antananarivo","300 / 319","44.0 (39.1–49.1)","43.4 (38.3–48.7)","44.4 (39.5–49.5)","44.2 (39.3–49.3)","43.5 (38.4–48.8)"
"Stunting — Region","Analamanga (excl. Antananarivo) †","217 / 223","48.3 (40.2–56.5)","48.3 (40.2–56.4)","48.3 (40.1–56.5)","48.4 (40.3–56.6)","48.2 (40.1–56.4)"
"Stunting — Region","Vakinankaratra","263 / 274","51.9 (43.3–60.4)","52.1 (43.3–60.8)","51.6 (43.1–59.9)","51.8 (43.3–60.1)","51.6 (43.1–60.1)"
"Stunting — Region","Itasy","258 / 261","51.6 (42.7–60.3)","51.5 (42.8–60.2)","51.6 (42.7–60.3)","51.4 (42.6–60.1)","51.5 (42.7–60.2)"
"Stunting — Region","Bongolava","314 / 325","37.6 (30.6–45.2)","37.5 (30.4–45.3)","37.6 (30.6–45.2)","37.7 (30.7–45.2)","37.6 (30.6–45.1)"
"Stunting — Region","Haute Matsiatra","250 / 259","49.2 (41.9–56.5)","49.2 (41.9–56.5)","49.0 (41.7–56.4)","49.6 (42.4–56.8)","49.1 (41.9–56.4)"
"Stunting — Region","Amoron'i Mania","280 / 287","49.1 (41.6–56.6)","49.0 (41.4–56.7)","49.5 (42.0–57.0)","49.1 (41.7–56.7)","49.1 (41.7–56.6)"
"Stunting — Region","Vatovavy Fitovinany","261 / 289","45.7 (38.5–53.1)","45.8 (38.4–53.3)","46.2 (38.7–53.8)","45.7 (38.7–52.9)","45.7 (38.7–52.9)"
"Stunting — Region","Ihorombe","318 / 322","32.6 (26.0–40.0)","32.7 (26.1–40.1)","32.6 (26.1–40.0)","32.5 (26.0–39.9)","32.7 (26.2–39.9)"
"Stunting — Region","Atsimo Atsinanana †","366 / 376","48.5 (43.1–54.0)","48.3 (42.8–53.8)","48.5 (43.1–54.0)","48.4 (43.0–53.9)","48.4 (42.9–53.9)"
"Stunting — Region","Atsinanana","259 / 272","37.6 (31.1–44.6)","37.0 (30.5–43.9)","38.3 (31.4–45.8)","38.1 (31.7–45.0)","38.0 (31.5–44.9)"
"Stunting — Region","Analanjirofo","287 / 294","36.2 (28.5–44.6)","36.2 (28.4–44.8)","36.3 (28.6–44.7)","36.2 (28.5–44.6)","36.2 (28.7–44.5)"
"Stunting — Region","Alaotra Mangoro","250 / 258","44.9 (37.8–52.1)","45.0 (37.7–52.5)","44.8 (37.9–51.9)","44.8 (37.8–52.0)","44.7 (37.8–51.8)"
"Stunting — Region","Boeny","217 / 221","28.8 (22.1–36.6)","28.4 (21.8–36.1)","29.0 (22.2–36.8)","28.7 (22.0–36.4)","28.9 (22.2–36.6)"
"Stunting — Region","Sofia","218 / 225","28.1 (20.8–36.9)","27.3 (20.0–36.1)","28.4 (21.0–37.1)","28.1 (20.9–36.7)","28.3 (21.1–36.8)"
"Stunting — Region","Betsiboka","261 / 271","29.6 (23.8–36.1)","29.9 (24.1–36.3)","29.4 (23.4–36.1)","29.7 (23.9–36.2)","29.7 (23.8–36.3)"
"Stunting — Region","Melaky","267 / 277","22.3 (19.0–25.9)","22.0 (18.9–25.6)","22.5 (19.1–26.2)","22.5 (19.0–26.4)","22.3 (19.0–26.1)"
"Stunting — Region","Atsimo Andrefana","363 / 387","26.7 (20.7–33.8)","26.5 (20.7–33.3)","27.1 (20.8–34.5)","26.9 (21.0–33.7)","27.1 (21.1–34.1)"
"Stunting — Region","Androy","429 / 476","45.3 (40.6–50.1)","45.7 (40.8–50.8)","43.7 (38.7–48.9)","45.2 (40.5–50.0)","45.3 (40.5–50.2)"
"Stunting — Region","Anosy","327 / 333","46.8 (38.5–55.3)","46.7 (38.5–55.1)","46.9 (38.6–55.5)","46.7 (38.5–55.1)","46.8 (38.5–55.2)"
"Stunting — Region","Menabe","284 / 291","34.9 (29.6–40.6)","34.1 (28.6–40.1)","35.0 (29.7–40.6)","34.9 (29.7–40.6)","35.0 (29.7–40.7)"
"Stunting — Region","Diana","203 / 210","21.7 (15.0–30.3)","21.2 (14.5–29.9)","21.8 (15.1–30.4)","21.9 (15.2–30.6)","21.8 (15.1–30.4)"
"Stunting — Region","Sava","210 / 232","31.0 (24.6–38.1)","31.2 (24.8–38.3)","31.2 (24.6–38.7)","31.2 (24.6–38.7)","32.0 (25.7–39.1)"
"Stunting — Wealth quintile","Poorest","1749 / 1832","42.8 (39.8–45.9)","42.8 (39.8–46.0)","42.3 (39.3–45.4)","42.8 (39.9–45.9)","42.8 (39.8–45.8)"
"Stunting — Wealth quintile","Poorer","1424 / 1495","43.4 (40.3–46.6)","43.2 (40.1–46.4)","43.7 (40.6–47.0)","43.3 (40.2–46.5)","43.5 (40.4–46.7)"
"Stunting — Wealth quintile","Middle","1285 / 1324","40.1 (36.6–43.8)","39.8 (36.2–43.4)","40.3 (36.7–44.1)","40.2 (36.6–43.9)","40.1 (36.5–43.8)"
"Stunting — Wealth quintile","Richer","986 / 1024","39.4 (35.5–43.4)","39.7 (35.8–43.7)","39.2 (35.2–43.3)","39.2 (35.3–43.3)","39.4 (35.5–43.4)"
"Stunting — Wealth quintile","Richest","958 / 1007","30.0 (25.7–34.7)","29.6 (25.3–34.3)","30.0 (25.8–34.7)","30.3 (26.0–34.8)","30.1 (25.9–34.6)"
"Wasting — National","National","6478 / 6682","7.7 (6.9–8.6)","7.7 (6.9–8.6)","7.7 (6.9–8.6)","7.7 (6.9–8.6)","7.7 (6.8–8.6)"
"Wasting — Region","Antananarivo","300 / 319","3.7 (2.1–6.5)","3.8 (2.1–6.6)","3.6 (2.0–6.3)","3.7 (2.1–6.6)","3.7 (2.1–6.6)"
"Wasting — Region","Analamanga (excl. Antananarivo)","215 / 223","5.1 (2.6–9.7)","4.7 (2.3–9.4)","5.3 (2.7–10.1)","5.1 (2.6–9.7)","5.1 (2.6–9.6)"
"Wasting — Region","Vakinankaratra","261 / 274","4.1 (2.0–8.4)","4.2 (2.0–8.6)","4.1 (1.9–8.3)","4.3 (2.1–8.5)","4.2 (2.0–8.6)"
"Wasting — Region","Itasy","257 / 261","3.9 (2.2–6.8)","4.0 (2.3–6.9)","4.0 (2.3–6.9)","4.1 (2.3–7.1)","4.0 (2.3–7.0)"
"Wasting — Region","Bongolava","314 / 325","7.4 (5.0–10.7)","7.3 (4.8–10.9)","7.5 (5.1–10.8)","7.5 (5.1–10.8)","7.4 (5.0–10.7)"
"Wasting — Region","Haute Matsiatra","256 / 259","2.4 (0.6–9.2)","2.5 (0.6–9.4)","2.4 (0.6–9.1)","2.4 (0.6–9.1)","2.4 (0.6–9.1)"
"Wasting — Region","Amoron'i Mania","279 / 287","2.6 (1.4–4.9)","2.7 (1.4–5.0)","2.6 (1.4–4.8)","2.7 (1.4–5.0)","2.6 (1.4–5.0)"
"Wasting — Region","Vatovavy Fitovinany †","271 / 289","10.2 (7.4–13.9)","9.5 (6.5–13.7)","10.5 (7.5–14.4)","10.4 (7.4–14.3)","10.0 (7.3–13.7)"
"Wasting — Region","Ihorombe","318 / 322","5.2 (2.9–9.1)","5.2 (2.9–9.2)","5.2 (2.9–9.1)","5.2 (2.9–9.1)","5.2 (2.9–9.1)"
"Wasting — Region","Atsimo Atsinanana","368 / 376","12.4 (9.5–15.9)","12.5 (9.6–16.1)","12.3 (9.5–15.8)","12.3 (9.5–15.9)","12.4 (9.5–16.0)"
"Wasting — Region","Atsinanana","264 / 272","8.6 (5.1–14.2)","8.6 (5.0–14.3)","8.6 (5.2–14.1)","8.7 (5.2–14.3)","8.6 (5.1–14.0)"
"Wasting — Region","Analanjirofo","288 / 294","11.3 (7.3–17.0)","11.1 (7.2–16.8)","11.4 (7.4–17.2)","11.2 (7.3–16.8)","11.1 (7.2–16.7)"
"Wasting — Region","Alaotra Mangoro","251 / 258","3.7 (1.9–7.2)","3.8 (2.0–7.3)","3.7 (1.9–7.1)","3.8 (1.9–7.3)","3.8 (1.9–7.2)"
"Wasting — Region","Boeny","217 / 221","12.4 (8.3–18.2)","12.7 (8.5–18.4)","12.4 (8.3–18.1)","12.3 (8.2–18.0)","12.4 (8.3–18.2)"
"Wasting — Region","Sofia","218 / 225","9.8 (6.1–15.2)","10.0 (6.3–15.4)","9.6 (6.0–15.0)","9.7 (6.1–15.0)","9.7 (6.1–15.1)"
"Wasting — Region","Betsiboka","262 / 271","7.3 (4.2–12.5)","6.9 (4.2–11.2)","7.5 (4.2–13.2)","7.3 (4.2–12.4)","7.3 (4.2–12.3)"
"Wasting — Region","Melaky","270 / 277","5.9 (3.1–10.9)","6.0 (3.2–11.1)","5.8 (3.0–10.9)","5.9 (3.1–10.9)","5.9 (3.1–10.9)"
"Wasting — Region","Atsimo Andrefana","370 / 387","6.8 (4.2–11.0)","6.7 (4.0–11.0)","7.0 (4.3–11.1)","6.9 (4.2–10.9)","6.8 (4.2–10.9)"
"Wasting — Region","Androy","461 / 476","15.2 (10.8–20.8)","15.6 (11.2–21.3)","14.9 (10.7–20.5)","15.1 (10.8–20.7)","15.1 (10.8–20.7)"
"Wasting — Region","Anosy †","328 / 333","9.9 (7.1–13.7)","10.1 (7.2–13.9)","9.9 (7.1–13.6)","9.9 (7.1–13.8)","9.9 (7.1–13.6)"
"Wasting — Region","Menabe","286 / 291","6.7 (3.1–13.7)","7.1 (3.1–15.2)","6.6 (3.1–13.6)","6.7 (3.1–13.6)","6.7 (3.2–13.6)"
"Wasting — Region","Diana","205 / 210","7.8 (4.8–12.5)","7.9 (4.8–12.6)","7.8 (4.8–12.4)","7.9 (4.8–12.5)","7.8 (4.8–12.4)"
"Wasting — Region","Sava","219 / 232","9.5 (6.0–14.8)","9.7 (6.1–15.1)","9.4 (6.0–14.6)","9.5 (6.0–14.7)","9.5 (6.0–14.6)"
"Wasting — Wealth quintile","Poorest","1783 / 1832","9.9 (8.2–11.9)","10.1 (8.3–12.2)","9.8 (8.1–11.8)","9.9 (8.2–11.9)","9.9 (8.2–11.9)"
"Wasting — Wealth quintile","Poorer","1447 / 1495","8.0 (6.5–9.8)","8.2 (6.6–10.0)","7.9 (6.4–9.7)","8.1 (6.6–9.9)","8.0 (6.5–9.9)"
"Wasting — Wealth quintile","Middle","1292 / 1324","6.9 (5.3–8.9)","6.7 (5.1–8.6)","7.1 (5.4–9.1)","7.0 (5.4–8.9)","6.8 (5.3–8.8)"
"Wasting — Wealth quintile","Richer","993 / 1024","5.5 (4.1–7.3)","5.5 (4.1–7.4)","5.5 (4.1–7.3)","5.5 (4.1–7.3)","5.5 (4.1–7.3)"
"Wasting — Wealth quintile","Richest","963 / 1007","7.1 (5.2–9.5)","6.9 (5.1–9.3)","7.2 (5.3–9.7)","7.0 (5.2–9.5)","7.0 (5.2–9.4)"
