"row_group","method","bias_stunted","rmse_stunted","coverage_stunted","bias_wasted","rmse_wasted","coverage_wasted"
"MCAR, 10% missing","Complete data","-0.04","1.01","92.8","-0.02","0.44","95.2"
"MCAR, 10% missing","CCA","-0.05","1.04","92.8","-0.02","0.45","93.8"
"MCAR, 10% missing","IPW","-0.05","1.04","93.2","-0.02","0.45","94.4"
"MCAR, 10% missing","MI-PMM","-0.03","1.02","92.4","-0.02","0.44","94.8"
"MCAR, 10% missing","MI-RF","-0.06","1.04","92.2","-0.08","0.46","93.8"
"MCAR, 30% missing","Complete data","-0.03","0.93","94.4","-0.03","0.47","92.8"
"MCAR, 30% missing","CCA","0.01","1.06","95.6","-0.05","0.57","92.0"
"MCAR, 30% missing","IPW","0.00","1.05","95.4","-0.05","0.57","92.2"
"MCAR, 30% missing","MI-PMM","0.07","1.02","93.6","-0.03","0.54","92.8"
"MCAR, 30% missing","MI-RF","-0.05","1.04","94.6","-0.22","0.59","89.2"
"MCAR, 50% missing","Complete data","-0.05","0.88","96.2","0.01","0.47","93.6"
"MCAR, 50% missing","CCA","-0.07","1.12","96.6","0.00","0.61","95.2"
"MCAR, 50% missing","IPW","-0.04","1.10","97.0","-0.01","0.61","96.0"
"MCAR, 50% missing","MI-PMM","0.09","1.07","94.4","0.05","0.58","92.0"
"MCAR, 50% missing","MI-RF","-0.14","1.08","93.8","-0.27","0.63","90.6"
"MAR, 10% missing","Complete data","-0.03","1.00","94.0","0.05","0.43","95.8"
"MAR, 10% missing","CCA","-0.01","1.02","94.4","0.01","0.44","96.0"
"MAR, 10% missing","IPW","-0.02","1.02","94.0","0.04","0.44","95.4"
"MAR, 10% missing","MI-PMM","-0.06","1.01","94.2","0.07","0.44","95.2"
"MAR, 10% missing","MI-RF","-0.06","1.02","93.8","0.00","0.44","96.0"
"MAR, 30% missing","Complete data","0.01","0.92","95.2","0.00","0.43","95.4"
"MAR, 30% missing","CCA","0.07","1.05","94.6","-0.07","0.49","95.6"
"MAR, 30% missing","IPW","0.01","1.07","94.8","0.00","0.51","95.2"
"MAR, 30% missing","MI-PMM","-0.04","1.01","95.2","0.09","0.50","94.4"
"MAR, 30% missing","MI-RF","-0.09","1.04","93.4","-0.15","0.51","94.0"
"MAR, 50% missing","Complete data","0.02","0.94","94.8","-0.01","0.43","96.6"
"MAR, 50% missing","CCA","0.09","1.18","95.4","-0.09","0.59","95.6"
"MAR, 50% missing","IPW","0.02","1.32","94.4","-0.02","0.64","95.2"
"MAR, 50% missing","MI-PMM","0.00","1.21","92.2","0.14","0.59","94.6"
"MAR, 50% missing","MI-RF","-0.10","1.20","88.6","-0.26","0.61","91.2"
"MAR-strong, 10% missing","Complete data","-0.01","0.92","94.6","-0.02","0.45","95.8"
"MAR-strong, 10% missing","CCA","-0.73","1.20","86.4","-0.30","0.55","89.2"
"MAR-strong, 10% missing","IPW","0.00","0.96","95.6","-0.02","0.47","96.0"
"MAR-strong, 10% missing","MI-PMM","-0.16","0.98","95.0","-0.10","0.47","94.4"
"MAR-strong, 10% missing","MI-RF","-0.24","0.99","94.0","-0.19","0.50","91.8"
"MAR-strong, 30% missing","Complete data","0.00","0.92","94.8","0.02","0.46","94.0"
"MAR-strong, 30% missing","CCA","-2.18","2.41","44.2","-0.70","0.88","71.2"
"MAR-strong, 30% missing","IPW","-0.01","1.07","96.0","0.01","0.58","94.2"
"MAR-strong, 30% missing","MI-PMM","-0.52","1.17","91.8","-0.20","0.59","90.2"
"MAR-strong, 30% missing","MI-RF","-0.86","1.35","84.2","-0.49","0.72","79.4"
"MAR-strong, 50% missing","Complete data","0.01","0.88","95.4","0.00","0.44","96.2"
"MAR-strong, 50% missing","CCA","-3.68","3.87","11.0","-1.11","1.26","54.2"
"MAR-strong, 50% missing","IPW","-0.04","1.26","94.8","-0.04","0.71","95.2"
"MAR-strong, 50% missing","MI-PMM","-0.90","1.52","86.4","-0.33","0.74","86.0"
"MAR-strong, 50% missing","MI-RF","-1.69","2.05","63.4","-0.88","1.06","59.8"
"MNAR, 10% missing","Complete data","-0.03","0.96","94.4","0.00","0.44","95.4"
"MNAR, 10% missing","CCA","-2.31","2.51","33.6","-1.19","1.26","25.4"
"MNAR, 10% missing","IPW","-2.12","2.34","41.6","-1.18","1.26","25.2"
"MNAR, 10% missing","MI-PMM","-2.16","2.36","38.8","-1.12","1.20","28.0"
"MNAR, 10% missing","MI-RF","-1.99","2.21","45.2","-1.14","1.22","29.2"
"MNAR, 30% missing","Complete data","0.07","0.94","94.2","0.02","0.45","95.2"
"MNAR, 30% missing","CCA","-6.25","6.33","0.0","-2.57","2.61","0.0"
"MNAR, 30% missing","IPW","-5.94","6.03","0.0","-2.65","2.69","0.0"
"MNAR, 30% missing","MI-PMM","-6.04","6.12","0.0","-2.47","2.51","0.0"
"MNAR, 30% missing","MI-RF","-5.69","5.78","0.0","-2.60","2.63","0.0"
"MNAR, 50% missing","Complete data","-0.06","0.97","94.2","0.01","0.45","95.6"
"MNAR, 50% missing","CCA","-10.28","10.35","0.0","-3.52","3.55","0.0"
"MNAR, 50% missing","IPW","-9.81","9.89","0.0","-3.65","3.69","0.0"
"MNAR, 50% missing","MI-PMM","-9.90","9.97","0.0","-3.41","3.44","0.0"
"MNAR, 50% missing","MI-RF","-9.61","9.68","0.0","-3.64","3.67","0.0"
