"row_group","method","bias_stunted","rmse_stunted","coverage_stunted","bias_wasted","rmse_wasted","coverage_wasted"
"MCAR, 10% missing","Complete data","-0.16","1.03","90.0","0.03","0.37","95.0"
"MCAR, 10% missing","CCA","-0.22","0.96","90.0","-0.01","0.41","95.0"
"MCAR, 10% missing","IPW","-0.20","0.97","90.0","-0.00","0.40","95.0"
"MCAR, 10% missing","MI-PMM","-0.21","0.98","90.0","-0.01","0.41","95.0"
"MCAR, 10% missing","MI-RF","-0.22","0.99","90.0","-0.05","0.42","95.0"
"MCAR, 30% missing","Complete data","-0.13","0.83","100.0","-0.17","0.37","95.0"
"MCAR, 30% missing","CCA","-0.25","1.09","100.0","-0.16","0.55","90.0"
"MCAR, 30% missing","IPW","-0.20","1.07","100.0","-0.17","0.56","90.0"
"MCAR, 30% missing","MI-PMM","-0.08","1.05","95.0","-0.19","0.51","90.0"
"MCAR, 30% missing","MI-RF","-0.28","1.10","95.0","-0.33","0.59","90.0"
"MCAR, 50% missing","Complete data","0.01","0.71","100.0","-0.01","0.29","100.0"
"MCAR, 50% missing","CCA","-0.22","1.10","100.0","0.05","0.61","95.0"
"MCAR, 50% missing","IPW","-0.15","0.97","100.0","0.03","0.61","95.0"
"MCAR, 50% missing","MI-PMM","0.04","1.03","95.0","0.11","0.59","95.0"
"MCAR, 50% missing","MI-RF","-0.26","0.98","95.0","-0.23","0.61","90.0"
"MAR, 10% missing","Complete data","0.03","1.18","90.0","0.05","0.44","95.0"
"MAR, 10% missing","CCA","-0.01","1.20","95.0","0.00","0.41","95.0"
"MAR, 10% missing","IPW","-0.03","1.22","95.0","0.01","0.40","95.0"
"MAR, 10% missing","MI-PMM","-0.04","1.19","95.0","0.07","0.40","95.0"
"MAR, 10% missing","MI-RF","-0.03","1.18","95.0","-0.02","0.41","95.0"
"MAR, 30% missing","Complete data","0.30","1.10","100.0","-0.04","0.47","90.0"
"MAR, 30% missing","CCA","0.37","1.17","95.0","-0.08","0.51","95.0"
"MAR, 30% missing","IPW","0.30","1.17","95.0","-0.00","0.54","95.0"
"MAR, 30% missing","MI-PMM","0.20","1.00","95.0","0.12","0.54","90.0"
"MAR, 30% missing","MI-RF","0.19","1.18","90.0","-0.12","0.55","90.0"
"MAR, 50% missing","Complete data","0.05","1.08","95.0","0.07","0.44","95.0"
"MAR, 50% missing","CCA","0.28","1.41","95.0","-0.06","0.61","100.0"
"MAR, 50% missing","IPW","0.38","1.49","90.0","0.08","0.70","95.0"
"MAR, 50% missing","MI-PMM","0.33","1.36","90.0","0.25","0.64","90.0"
"MAR, 50% missing","MI-RF","0.16","1.42","90.0","-0.23","0.67","85.0"
"MNAR, 10% missing","Complete data","0.17","0.88","95.0","-0.21","0.40","100.0"
"MNAR, 10% missing","CCA","-2.06","2.29","55.0","-1.36","1.40","10.0"
"MNAR, 10% missing","IPW","-1.85","2.11","60.0","-1.36","1.39","10.0"
"MNAR, 10% missing","MI-PMM","-1.86","2.10","65.0","-1.29","1.32","10.0"
"MNAR, 10% missing","MI-RF","-1.74","2.00","65.0","-1.30","1.33","15.0"
"MNAR, 30% missing","Complete data","0.01","1.23","80.0","-0.01","0.41","100.0"
"MNAR, 30% missing","CCA","-6.39","6.52","0.0","-2.62","2.66","0.0"
"MNAR, 30% missing","IPW","-6.16","6.30","0.0","-2.73","2.76","0.0"
"MNAR, 30% missing","MI-PMM","-6.23","6.36","0.0","-2.53","2.56","0.0"
"MNAR, 30% missing","MI-RF","-5.88","6.03","0.0","-2.65","2.69","0.0"
"MNAR, 50% missing","Complete data","0.28","0.83","100.0","-0.01","0.36","100.0"
"MNAR, 50% missing","CCA","-9.76","9.82","0.0","-3.63","3.64","0.0"
"MNAR, 50% missing","IPW","-9.35","9.40","0.0","-3.75","3.78","0.0"
"MNAR, 50% missing","MI-PMM","-9.50","9.54","0.0","-3.50","3.52","0.0"
"MNAR, 50% missing","MI-RF","-9.19","9.24","0.0","-3.74","3.75","0.0"
