"outcome","scenario","method","n_sim","bias","rel_bias_pct","emp_se","mod_se","se_ratio","rmse","coverage","ci_width","fmi"
"Stunting","MCAR 10%","Complete data",500,"-0.04 (0.04)","-0.1","1.01 (0.03)","0.93 (0.00)","0.92","1.01 (0.03)","92.8 (1.2)","3.63","—"
"Stunting","MCAR 10%","CCA",500,"-0.05 (0.05)","-0.1","1.04 (0.03)","0.96 (0.00)","0.92","1.04 (0.03)","92.8 (1.2)","3.76","—"
"Stunting","MCAR 10%","IPW",500,"-0.05 (0.05)","-0.1","1.04 (0.03)","0.96 (0.00)","0.92","1.04 (0.03)","93.2 (1.1)","3.76","—"
"Stunting","MCAR 10%","MI-PMM",500,"-0.03 (0.05)","-0.1","1.02 (0.03)","0.93 (0.00)","0.92","1.02 (0.03)","92.4 (1.2)","3.67","0.07"
"Stunting","MCAR 10%","MI-RF",500,"-0.06 (0.05)","-0.2","1.04 (0.03)","0.94 (0.00)","0.90","1.04 (0.03)","92.2 (1.2)","3.67","0.07"
"Stunting","MCAR 30%","Complete data",500,"-0.03 (0.04)","-0.1","0.93 (0.03)","0.93 (0.00)","1.00","0.93 (0.03)","94.4 (1.0)","3.64","—"
"Stunting","MCAR 30%","CCA",500,"0.01 (0.05)","0.0","1.06 (0.03)","1.05 (0.00)","0.99","1.06 (0.03)","95.6 (0.9)","4.11","—"
"Stunting","MCAR 30%","IPW",500,"0.00 (0.05)","0.0","1.05 (0.03)","1.05 (0.00)","0.99","1.05 (0.03)","95.4 (0.9)","4.11","—"
"Stunting","MCAR 30%","MI-PMM",500,"0.07 (0.05)","0.2","1.02 (0.03)","0.98 (0.00)","0.96","1.02 (0.03)","93.6 (1.1)","3.86","0.23"
"Stunting","MCAR 30%","MI-RF",500,"-0.05 (0.05)","-0.1","1.04 (0.03)","0.97 (0.00)","0.93","1.04 (0.03)","94.6 (1.0)","3.81","0.20"
"Stunting","MCAR 50%","Complete data",500,"-0.05 (0.04)","-0.1","0.88 (0.03)","0.93 (0.00)","1.05","0.88 (0.03)","96.2 (0.9)","3.63","—"
"Stunting","MCAR 50%","CCA",500,"-0.07 (0.05)","-0.2","1.12 (0.04)","1.18 (0.00)","1.06","1.12 (0.03)","96.6 (0.8)","4.63","—"
"Stunting","MCAR 50%","IPW",500,"-0.04 (0.05)","-0.1","1.10 (0.03)","1.18 (0.00)","1.07","1.10 (0.03)","97.0 (0.8)","4.64","—"
"Stunting","MCAR 50%","MI-PMM",500,"0.09 (0.05)","0.2","1.07 (0.03)","1.07 (0.00)","1.00","1.07 (0.03)","94.4 (1.0)","4.28","0.41"
"Stunting","MCAR 50%","MI-RF",500,"-0.14 (0.05)","-0.4","1.07 (0.03)","1.00 (0.00)","0.93","1.08 (0.03)","93.8 (1.1)","3.98","0.32"
"Stunting","MAR 10%","Complete data",500,"-0.03 (0.04)","-0.1","1.00 (0.03)","0.92 (0.00)","0.92","1.00 (0.04)","94.0 (1.1)","3.63","—"
"Stunting","MAR 10%","CCA",500,"-0.01 (0.05)","0.0","1.02 (0.03)","0.96 (0.00)","0.94","1.02 (0.04)","94.4 (1.0)","3.77","—"
"Stunting","MAR 10%","IPW",500,"-0.02 (0.05)","-0.1","1.02 (0.03)","0.96 (0.00)","0.94","1.02 (0.04)","94.0 (1.1)","3.77","—"
"Stunting","MAR 10%","MI-PMM",500,"-0.06 (0.05)","-0.2","1.01 (0.03)","0.94 (0.00)","0.93","1.01 (0.04)","94.2 (1.0)","3.68","0.08"
"Stunting","MAR 10%","MI-RF",500,"-0.06 (0.05)","-0.1","1.02 (0.03)","0.94 (0.00)","0.91","1.02 (0.04)","93.8 (1.1)","3.67","0.07"
"Stunting","MAR 30%","Complete data",500,"0.01 (0.04)","0.0","0.92 (0.03)","0.93 (0.00)","1.00","0.92 (0.03)","95.2 (1.0)","3.64","—"
"Stunting","MAR 30%","CCA",500,"0.07 (0.05)","0.2","1.05 (0.03)","1.05 (0.00)","1.00","1.05 (0.03)","94.6 (1.0)","4.13","—"
"Stunting","MAR 30%","IPW",500,"0.01 (0.05)","0.0","1.07 (0.03)","1.08 (0.00)","1.01","1.07 (0.03)","94.8 (1.0)","4.25","—"
"Stunting","MAR 30%","MI-PMM",500,"-0.04 (0.05)","-0.1","1.01 (0.03)","1.00 (0.00)","0.99","1.01 (0.03)","95.2 (1.0)","3.95","0.26"
"Stunting","MAR 30%","MI-RF",500,"-0.09 (0.05)","-0.2","1.04 (0.03)","0.97 (0.00)","0.93","1.04 (0.03)","93.4 (1.1)","3.83","0.21"
"Stunting","MAR 30% (ntree=50)","MI-RF (ntree=50)",200,"-0.10 (0.07)","-0.3","0.97 (0.05)","0.97 (0.00)","0.99","0.97 (0.05)","96.5 (1.3)","3.81","0.20"
"Stunting","MAR 50%","Complete data",500,"0.02 (0.04)","0.0","0.94 (0.03)","0.93 (0.00)","0.98","0.94 (0.03)","94.8 (1.0)","3.64","—"
"Stunting","MAR 50%","CCA",500,"0.09 (0.05)","0.2","1.18 (0.04)","1.19 (0.00)","1.01","1.18 (0.04)","95.4 (0.9)","4.68","—"
"Stunting","MAR 50%","IPW",500,"0.02 (0.06)","0.0","1.32 (0.04)","1.30 (0.00)","0.98","1.32 (0.04)","94.4 (1.0)","5.09","—"
"Stunting","MAR 50%","MI-PMM",500,"0.00 (0.05)","0.0","1.21 (0.04)","1.14 (0.01)","0.94","1.21 (0.04)","92.2 (1.2)","4.58","0.47"
"Stunting","MAR 50%","MI-RF",500,"-0.10 (0.05)","-0.3","1.20 (0.04)","1.01 (0.00)","0.85","1.20 (0.04)","88.6 (1.4)","4.04","0.34"
"Stunting","MAR-strong 10%","Complete data",500,"-0.01 (0.04)","0.0","0.92 (0.03)","0.92 (0.00)","1.00","0.92 (0.03)","94.6 (1.0)","3.63","—"
"Stunting","MAR-strong 10%","CCA",500,"-0.73 (0.04)","-1.8","0.96 (0.03)","0.96 (0.00)","0.99","1.20 (0.04)","86.4 (1.5)","3.75","—"
"Stunting","MAR-strong 10%","IPW",500,"0.00 (0.04)","0.0","0.96 (0.03)","0.96 (0.00)","1.00","0.96 (0.03)","95.6 (0.9)","3.76","—"
"Stunting","MAR-strong 10%","MI-PMM",500,"-0.16 (0.04)","-0.4","0.96 (0.03)","0.93 (0.00)","0.97","0.98 (0.03)","95.0 (1.0)","3.67","0.08"
"Stunting","MAR-strong 10%","MI-RF",500,"-0.24 (0.04)","-0.6","0.96 (0.03)","0.93 (0.00)","0.97","0.99 (0.03)","94.0 (1.1)","3.66","0.07"
"Stunting","MAR-strong 30%","Complete data",500,"0.00 (0.04)","0.0","0.92 (0.03)","0.93 (0.00)","1.01","0.92 (0.03)","94.8 (1.0)","3.64","—"
"Stunting","MAR-strong 30%","CCA",500,"-2.18 (0.05)","-5.5","1.04 (0.03)","1.04 (0.00)","1.01","2.41 (0.04)","44.2 (2.2)","4.09","—"
"Stunting","MAR-strong 30%","IPW",500,"-0.01 (0.05)","0.0","1.07 (0.03)","1.08 (0.00)","1.00","1.07 (0.04)","96.0 (0.9)","4.23","—"
"Stunting","MAR-strong 30%","MI-PMM",500,"-0.52 (0.05)","-1.3","1.04 (0.03)","0.99 (0.00)","0.95","1.17 (0.04)","91.8 (1.2)","3.92","0.26"
"Stunting","MAR-strong 30%","MI-RF",500,"-0.86 (0.05)","-2.2","1.05 (0.03)","0.96 (0.00)","0.92","1.35 (0.04)","84.2 (1.6)","3.80","0.21"
"Stunting","MAR-strong 50%","Complete data",500,"0.01 (0.04)","0.0","0.88 (0.03)","0.93 (0.00)","1.05","0.88 (0.03)","95.4 (0.9)","3.64","—"
"Stunting","MAR-strong 50%","CCA",500,"-3.68 (0.05)","-9.3","1.17 (0.04)","1.18 (0.00)","1.01","3.87 (0.05)","11.0 (1.4)","4.62","—"
"Stunting","MAR-strong 50%","IPW",500,"-0.04 (0.06)","-0.1","1.26 (0.04)","1.30 (0.00)","1.03","1.26 (0.04)","94.8 (1.0)","5.10","—"
"Stunting","MAR-strong 50%","MI-PMM",500,"-0.90 (0.05)","-2.3","1.22 (0.04)","1.12 (0.01)","0.92","1.52 (0.05)","86.4 (1.5)","4.52","0.47"
"Stunting","MAR-strong 50%","MI-RF",500,"-1.69 (0.05)","-4.3","1.16 (0.04)","1.01 (0.00)","0.87","2.05 (0.05)","63.4 (2.2)","4.01","0.35"
"Stunting","MNAR 10%","Complete data",500,"-0.03 (0.04)","-0.1","0.96 (0.03)","0.93 (0.00)","0.97","0.96 (0.03)","94.4 (1.0)","3.65","—"
"Stunting","MNAR 10%","CCA",500,"-2.31 (0.04)","-5.8","0.97 (0.03)","0.95 (0.00)","0.98","2.51 (0.04)","33.6 (2.1)","3.71","—"
"Stunting","MNAR 10%","IPW",500,"-2.12 (0.04)","-5.4","0.97 (0.03)","0.95 (0.00)","0.97","2.34 (0.04)","41.6 (2.2)","3.71","—"
"Stunting","MNAR 10%","MI-PMM",500,"-2.16 (0.04)","-5.4","0.96 (0.03)","0.92 (0.00)","0.96","2.36 (0.04)","38.8 (2.2)","3.63","0.07"
"Stunting","MNAR 10%","MI-RF",500,"-1.99 (0.04)","-5.0","0.97 (0.03)","0.93 (0.00)","0.95","2.21 (0.04)","45.2 (2.2)","3.63","0.07"
"Stunting","MNAR 30%","Complete data",500,"0.07 (0.04)","0.2","0.93 (0.03)","0.92 (0.00)","0.99","0.94 (0.03)","94.2 (1.0)","3.63","—"
"Stunting","MNAR 30%","CCA",500,"-6.25 (0.05)","-15.8","1.02 (0.03)","1.00 (0.00)","0.98","6.33 (0.05)","0.0 (0.0)","3.93","—"
"Stunting","MNAR 30%","IPW",500,"-5.94 (0.05)","-15.0","1.03 (0.03)","1.03 (0.00)","1.00","6.03 (0.05)","0.0 (0.0)","4.02","—"
"Stunting","MNAR 30%","MI-PMM",500,"-6.04 (0.04)","-15.2","0.99 (0.03)","0.95 (0.00)","0.96","6.12 (0.04)","0.0 (0.0)","3.76","0.26"
"Stunting","MNAR 30%","MI-RF",500,"-5.69 (0.05)","-14.4","1.01 (0.03)","0.93 (0.00)","0.92","5.78 (0.05)","0.0 (0.0)","3.68","0.22"
