"outcome","scenario","method","n_sim","bias","rel_bias_pct","emp_se","mod_se","se_ratio","rmse","coverage","ci_width","fmi"
"Stunting","MCAR 10%","Complete data",20,"-0.16 (0.23)","-0.4","1.05 (0.17)","0.92 (0.01)","0.88","1.03 (0.19)","90.0 (6.7)","3.62","—"
"Stunting","MCAR 10%","CCA",20,"-0.22 (0.22)","-0.6","0.96 (0.16)","0.96 (0.01)","0.99","0.96 (0.19)","90.0 (6.7)","3.75","—"
"Stunting","MCAR 10%","IPW",20,"-0.20 (0.22)","-0.5","0.97 (0.16)","0.96 (0.01)","0.98","0.97 (0.19)","90.0 (6.7)","3.75","—"
"Stunting","MCAR 10%","MI-PMM",20,"-0.21 (0.22)","-0.5","0.99 (0.16)","0.94 (0.01)","0.95","0.98 (0.19)","90.0 (6.7)","3.69","0.09"
"Stunting","MCAR 10%","MI-RF",20,"-0.22 (0.22)","-0.6","0.99 (0.16)","0.93 (0.01)","0.94","0.99 (0.19)","90.0 (6.7)","3.65","0.06"
"Stunting","MCAR 30%","Complete data",20,"-0.13 (0.19)","-0.3","0.84 (0.14)","0.94 (0.01)","1.12","0.83 (0.10)","100.0 (0.0)","3.69","—"
"Stunting","MCAR 30%","CCA",20,"-0.25 (0.24)","-0.6","1.09 (0.18)","1.07 (0.02)","0.98","1.09 (0.11)","100.0 (0.0)","4.18","—"
"Stunting","MCAR 30%","IPW",20,"-0.20 (0.24)","-0.5","1.08 (0.18)","1.07 (0.01)","0.99","1.07 (0.12)","100.0 (0.0)","4.18","—"
"Stunting","MCAR 30%","MI-PMM",20,"-0.08 (0.24)","-0.2","1.07 (0.17)","1.00 (0.01)","0.93","1.05 (0.13)","95.0 (4.9)","3.94","0.25"
"Stunting","MCAR 30%","MI-RF",20,"-0.28 (0.24)","-0.7","1.09 (0.18)","0.96 (0.01)","0.88","1.10 (0.11)","95.0 (4.9)","3.79","0.18"
"Stunting","MCAR 50%","Complete data",20,"0.01 (0.16)","0.0","0.73 (0.12)","0.93 (0.01)","1.27","0.71 (0.11)","100.0 (0.0)","3.65","—"
"Stunting","MCAR 50%","CCA",20,"-0.22 (0.25)","-0.6","1.10 (0.18)","1.18 (0.01)","1.07","1.10 (0.15)","100.0 (0.0)","4.61","—"
"Stunting","MCAR 50%","IPW",20,"-0.15 (0.22)","-0.4","0.99 (0.16)","1.18 (0.01)","1.20","0.97 (0.13)","100.0 (0.0)","4.63","—"
"Stunting","MCAR 50%","MI-PMM",20,"0.04 (0.24)","0.1","1.06 (0.17)","1.04 (0.02)","0.99","1.03 (0.16)","95.0 (4.9)","4.18","0.39"
"Stunting","MCAR 50%","MI-RF",20,"-0.26 (0.22)","-0.7","0.97 (0.16)","1.00 (0.02)","1.03","0.98 (0.13)","95.0 (4.9)","3.97","0.31"
"Stunting","MAR 10%","Complete data",20,"0.03 (0.27)","0.1","1.21 (0.20)","0.93 (0.01)","0.77","1.18 (0.14)","90.0 (6.7)","3.65","—"
"Stunting","MAR 10%","CCA",20,"-0.01 (0.27)","-0.0","1.23 (0.20)","0.96 (0.01)","0.79","1.20 (0.16)","95.0 (4.9)","3.78","—"
