"row_group","method","spearman","topk","topk_exact","rank1"
"Stunting — MCAR 10%","Complete data","0.92","0.69","6.4","34.2"
"Stunting — MCAR 10%","CCA","0.92","0.68","6.4","33.6"
"Stunting — MCAR 10%","IPW","0.92","0.68","6.2","33.2"
"Stunting — MCAR 10%","MI-PMM","0.92","0.68","4.8","33.0"
"Stunting — MCAR 10%","MI-RF","0.92","0.68","5.6","34.0"
"Stunting — MCAR 30%","Complete data","0.92","0.69","5.6","28.2"
"Stunting — MCAR 30%","CCA","0.91","0.66","3.8","25.4"
"Stunting — MCAR 30%","IPW","0.91","0.66","3.8","25.8"
"Stunting — MCAR 30%","MI-PMM","0.91","0.66","3.6","30.4"
"Stunting — MCAR 30%","MI-RF","0.91","0.68","5.2","31.2"
"Stunting — MCAR 50%","Complete data","0.92","0.69","6.4","32.6"
"Stunting — MCAR 50%","CCA","0.89","0.63","4.0","27.8"
"Stunting — MCAR 50%","IPW","0.89","0.64","4.4","27.6"
"Stunting — MCAR 50%","MI-PMM","0.89","0.64","3.2","30.4"
"Stunting — MCAR 50%","MI-RF","0.89","0.67","5.2","33.0"
"Stunting — MAR 10%","Complete data","0.92","0.70","7.4","30.0"
"Stunting — MAR 10%","CCA","0.92","0.71","8.0","32.0"
"Stunting — MAR 10%","IPW","0.92","0.69","6.4","29.4"
"Stunting — MAR 10%","MI-PMM","0.92","0.71","8.4","32.4"
"Stunting — MAR 10%","MI-RF","0.92","0.71","9.4","30.8"
"Stunting — MAR 30%","Complete data","0.92","0.69","6.8","31.0"
"Stunting — MAR 30%","CCA","0.91","0.68","5.8","35.2"
"Stunting — MAR 30%","IPW","0.90","0.65","4.0","31.2"
"Stunting — MAR 30%","MI-PMM","0.91","0.68","6.0","35.6"
"Stunting — MAR 30%","MI-RF","0.91","0.70","7.6","35.4"
"Stunting — MAR 50%","Complete data","0.93","0.69","4.8","34.6"
"Stunting — MAR 50%","CCA","0.89","0.67","3.2","32.6"
"Stunting — MAR 50%","IPW","0.88","0.62","2.0","30.2"
"Stunting — MAR 50%","MI-PMM","0.90","0.67","3.4","35.4"
"Stunting — MAR 50%","MI-RF","0.90","0.72","8.8","33.0"
"Stunting — MAR-strong 10%","Complete data","0.92","0.69","6.2","33.0"
"Stunting — MAR-strong 10%","CCA","0.92","0.68","6.2","30.8"
"Stunting — MAR-strong 10%","IPW","0.92","0.67","5.2","31.8"
"Stunting — MAR-strong 10%","MI-PMM","0.92","0.67","4.6","31.6"
"Stunting — MAR-strong 10%","MI-RF","0.92","0.68","5.8","31.8"
"Stunting — MAR-strong 30%","Complete data","0.93","0.69","5.2","34.8"
"Stunting — MAR-strong 30%","CCA","0.90","0.68","4.8","24.4"
"Stunting — MAR-strong 30%","IPW","0.90","0.66","3.6","28.4"
"Stunting — MAR-strong 30%","MI-PMM","0.90","0.65","2.8","23.4"
"Stunting — MAR-strong 30%","MI-RF","0.91","0.70","6.6","27.0"
"Stunting — MAR-strong 50%","Complete data","0.92","0.68","4.8","36.0"
"Stunting — MAR-strong 50%","CCA","0.87","0.63","3.4","25.2"
"Stunting — MAR-strong 50%","IPW","0.87","0.61","2.8","28.2"
"Stunting — MAR-strong 50%","MI-PMM","0.87","0.59","1.2","22.6"
"Stunting — MAR-strong 50%","MI-RF","0.89","0.66","3.6","27.2"
"Stunting — MNAR 10%","Complete data","0.93","0.70","5.8","33.8"
"Stunting — MNAR 10%","CCA","0.92","0.72","7.2","33.4"
"Stunting — MNAR 10%","IPW","0.92","0.72","7.0","31.4"
"Stunting — MNAR 10%","MI-PMM","0.92","0.72","7.0","33.2"
