"row_group","method","spearman","topk","topk_exact","rank1"
"Stunting — MCAR 10%","Complete data","0.93","0.75","0.0","30.0"
"Stunting — MCAR 10%","CCA","0.93","0.76","5.0","25.0"
"Stunting — MCAR 10%","IPW","0.93","0.75","5.0","25.0"
"Stunting — MCAR 10%","MI-PMM","0.93","0.76","0.0","30.0"
"Stunting — MCAR 10%","MI-RF","0.93","0.75","0.0","30.0"
"Stunting — MCAR 30%","Complete data","0.92","0.69","5.0","0.0"
"Stunting — MCAR 30%","CCA","0.90","0.65","0.0","10.0"
"Stunting — MCAR 30%","IPW","0.90","0.66","0.0","10.0"
"Stunting — MCAR 30%","MI-PMM","0.91","0.65","0.0","20.0"
"Stunting — MCAR 30%","MI-RF","0.91","0.69","5.0","10.0"
"Stunting — MCAR 50%","Complete data","0.93","0.68","5.0","35.0"
"Stunting — MCAR 50%","CCA","0.90","0.66","0.0","40.0"
"Stunting — MCAR 50%","IPW","0.90","0.67","5.0","40.0"
"Stunting — MCAR 50%","MI-PMM","0.90","0.68","10.0","40.0"
"Stunting — MCAR 50%","MI-RF","0.90","0.73","10.0","45.0"
"Stunting — MAR 10%","Complete data","0.93","0.69","0.0","25.0"
"Stunting — MAR 10%","CCA","0.92","0.67","0.0","35.0"
"Stunting — MAR 10%","IPW","0.92","0.65","0.0","30.0"
"Stunting — MAR 10%","MI-PMM","0.93","0.68","0.0","35.0"
"Stunting — MAR 10%","MI-RF","0.93","0.68","0.0","40.0"
"Stunting — MAR 30%","Complete data","0.93","0.72","5.0","45.0"
"Stunting — MAR 30%","CCA","0.92","0.73","10.0","45.0"
"Stunting — MAR 30%","IPW","0.91","0.69","5.0","40.0"
"Stunting — MAR 30%","MI-PMM","0.92","0.69","0.0","30.0"
"Stunting — MAR 30%","MI-RF","0.93","0.74","15.0","45.0"
"Stunting — MAR 50%","Complete data","0.92","0.69","0.0","25.0"
"Stunting — MAR 50%","CCA","0.89","0.67","10.0","30.0"
"Stunting — MAR 50%","IPW","0.87","0.61","5.0","25.0"
"Stunting — MAR 50%","MI-PMM","0.90","0.64","0.0","40.0"
"Stunting — MAR 50%","MI-RF","0.90","0.71","10.0","35.0"
"Stunting — MNAR 10%","Complete data","0.92","0.66","0.0","25.0"
"Stunting — MNAR 10%","CCA","0.92","0.75","0.0","25.0"
"Stunting — MNAR 10%","IPW","0.92","0.71","0.0","25.0"
"Stunting — MNAR 10%","MI-PMM","0.92","0.76","10.0","25.0"
"Stunting — MNAR 10%","MI-RF","0.92","0.77","10.0","25.0"
"Stunting — MNAR 30%","Complete data","0.93","0.69","5.0","25.0"
"Stunting — MNAR 30%","CCA","0.89","0.74","10.0","25.0"
"Stunting — MNAR 30%","IPW","0.89","0.72","5.0","20.0"
"Stunting — MNAR 30%","MI-PMM","0.89","0.75","15.0","25.0"
"Stunting — MNAR 30%","MI-RF","0.90","0.76","15.0","25.0"
"Stunting — MNAR 50%","Complete data","0.93","0.77","15.0","25.0"
"Stunting — MNAR 50%","CCA","0.85","0.76","20.0","25.0"
"Stunting — MNAR 50%","IPW","0.83","0.69","15.0","30.0"
"Stunting — MNAR 50%","MI-PMM","0.83","0.72","5.0","20.0"
"Stunting — MNAR 50%","MI-RF","0.86","0.75","20.0","25.0"
"Wasting — MCAR 10%","Complete data","0.85","0.72","0.0","70.0"
"Wasting — MCAR 10%","CCA","0.84","0.70","0.0","65.0"
"Wasting — MCAR 10%","IPW","0.84","0.70","0.0","65.0"
"Wasting — MCAR 10%","MI-PMM","0.84","0.71","0.0","65.0"
"Wasting — MCAR 10%","MI-RF","0.84","0.72","0.0","65.0"
"Wasting — MCAR 30%","Complete data","0.86","0.68","15.0","90.0"
"Wasting — MCAR 30%","CCA","0.81","0.63","10.0","65.0"
"Wasting — MCAR 30%","IPW","0.81","0.61","10.0","65.0"
"Wasting — MCAR 30%","MI-PMM","0.83","0.66","15.0","75.0"
"Wasting — MCAR 30%","MI-RF","0.81","0.66","15.0","80.0"
"Wasting — MCAR 50%","Complete data","0.87","0.77","15.0","55.0"
"Wasting — MCAR 50%","CCA","0.79","0.65","0.0","35.0"
"Wasting — MCAR 50%","IPW","0.79","0.65","5.0","35.0"
"Wasting — MCAR 50%","MI-PMM","0.83","0.73","10.0","45.0"
"Wasting — MCAR 50%","MI-RF","0.79","0.67","0.0","40.0"
"Wasting — MAR 10%","Complete data","0.88","0.72","0.0","75.0"
"Wasting — MAR 10%","CCA","0.87","0.71","5.0","75.0"
"Wasting — MAR 10%","IPW","0.87","0.71","5.0","70.0"
"Wasting — MAR 10%","MI-PMM","0.87","0.71","5.0","80.0"
"Wasting — MAR 10%","MI-RF","0.87","0.71","5.0","70.0"
